noun,avg_LL_delta
abstract,-7.168734542
actor,-4.1763725
aircraft,-4.9473912
album,-11.3322381797
animal,-4.771855
announcer,-0.1737780000000004
artisan,-1.3873513000000002
artist,-4.9652068
author,-2.1833448
aviator,-2.83207975
backpack,-6.5955823872
backpacker,-6.5677393
bag,-9.188422696
baker,-9.13886062
barber,-8.8208183895
basket,-11.54702799767
beard,-10.8358229253
bedding,-9.86747894
bike,-8.127011400999999
blanket,-9.27431112
blogger,-7.2821140632
board,-5.749199814
book,-8.885510459
bottle,-9.62843712
bowl,-12.44457482097
bread,-12.38241003286
broadcaster,-4.0641686
building,-7.446630064
bus,-8.353147277000001
busboy,-4.685082606
businessman,1.0158405999999998
businesswoman,-2.6570437
butcher,-8.519959625
cake,-14.4458940784
cameraman,-3.632222224
camper,-4.383521955
canvas,-13.97550982536
captain,-2.7730075
car,-7.3794507643
cardboard,-10.3015701623
carpet,-12.41294839444
carver,-7.281364528
caterer,-10.599022456
cd,-6.98779035
cellist,-11.6056296564
cello,-10.1664808201
chauffeur,-3.5209117
chef,-5.45532768
choreography,-5.362749600000001
clarinet,-10.92050501
clarinetist,-9.88035586
clay,-10.77342753198
cleaner,-9.479995699
clerk,-3.880319577
cloth,-12.9025663347
coat,-8.768996781499999
code,-8.1525426
comedian,-1.2023101
concerto,-8.465675064000001
confectioner,-10.32229931
container,-5.799964600000001
convertible,-6.061345466000001
cook,-7.713000303
cotton,-8.811367945399999
countertop,-7.433466635
crate,-9.024102407
cushion,-12.27660372324
cut,-8.392082912
dancer,-5.333585507
dealer,-4.936260020000001
dish,-9.7453894737
doctor,-4.086941690000001
dough,-6.759818749
dressmaker,-10.0138349528
driver,-0.9633891
drug,-8.692777341200001
drummer,-4.25850564
duffle,-6.041422968
essay,-8.177132975
essayist,-2.770581
fabric,-8.69703984
fillet,-8.495983116800002
fish,-9.984023124
floor,-7.8438035231
flute,-12.84376538773
flutist,-10.6771934617
food,-9.8899288
gem,-9.17973875
glass,-10.02724423869
hairdresser,-9.8268116444
handle,-9.402676497
hat,-10.37664978934
herb,-11.530604156
hiker,-6.67233448
housekeeper,-4.545434998
ice,-11.146859776
illustrator,-5.2393646
ingredient,-3.83501707
instrument,-9.0517054
item,-4.3816832
jacket,-6.521405894300001
janitor,-4.0853765
jet,-7.216730875
jeweler,-5.431999286000001
jewelry,-13.9670017877
journalist,-3.95246217
kite,-10.393048832000002
knob,-4.3483888
lady,-11.87960314
lake,-13.882634502
landscape,-11.4901726443
letter,-8.66680137
line,-11.96714035184
lotion,-9.4794709903
lunchbox,-8.70508819825
machine,-5.99148965
magazine,-9.41596698
maid,-6.64457536
make,-6.4544734758
man,-2.3086586600000003
marble,-10.96960661712
mason,-1.34496982
material,-7.0834135
meat,-11.2958420042
mirror,-12.41134676677
model,-5.92906605
motorcycle,-6.125307411
motorist,-0.2065655999999998
mountain,-7.492775685
mover,-2.11639882
mushroom,-11.5547197029
musician,-7.971991086
narrator,-5.4761417
notetaker,-2.5663411
novel,-4.4061707
novelist,-4.5248179
orator,-3.5113036
packaging,-5.857831500000001
painter,-8.278872931899999
panel,-8.77067096657
paper,-10.9793372179
passage,-4.6303742
pastry,-13.6110999095
patissier,-12.081096989
pattern,-10.8942326598
peddler,-4.7341334
pepper,-10.3140718823
person,-0.5912939999999995
photographer,-5.601069805
pianist,-6.599226187
piano,-8.47863423922
pie,-14.14203661443
pilot,-4.0388661
pizza,-12.4155531201
plane,-5.8856098937
poem,-10.01463306
poet,-4.3084732
portraitist,-5.86809497
pot,-12.72433754063
potato,-13.05927663828
potter,-8.063293787000001
product,-7.617341
professor,3.0800375000000004
proposal,-9.947662465
pumpkin,-13.50501624116
quilt,-11.69732064515
racer,-9.2737776803
report,-6.2993825
roadtripper,-6.80229594
routine,-6.06338314
salesman,-2.4557275
saleswoman,-4.384107500000001
salmon,-12.58105540828
scene,-5.191610900000001
screw,-1.6253339000000002
scribe,-1.18839166
script,-9.3111584337
sculptor,-4.07634526
seamster,-7.631694138599999
seamstress,-6.80088966
section,-8.0213377764
shirt,-10.95335592915
shopkeeper,-5.26251671
sideburn,-11.9803195084
silk,-11.61817468003
silverware,-14.35682417872
singer,-5.8886654
snack,-10.447919478
soloist,-4.16015257
sonata,-4.408589030000001
song,-11.044752382
steak,-8.9889451404
stone,-11.0838253468
stubble,-9.379874032
student,-3.9448212
suitcase,-9.0359270661
surface,-8.0004402652
surgeon,-4.740829078
suv,-4.468282
tailor,-7.5160779197
tank,-11.71531579336
teacher,-3.7263202
telemarketer,-0.2726118000000002
tent,-11.76885080348
thread,-10.811874366
toy,-10.95542751
tractor,-3.951521504
trader,-1.6210594
traveller,-3.5959719
truck,-5.783326684
tub,-11.1112692578
tuna,-12.00630512407
turkey,-12.29347638195
upholsterer,2.48423876
valve,-8.09319657
van,-3.686127396
vegetable,-12.67183173844
vehicle,-8.865289200000001
verse,-9.017031475
view,-4.558004103
violin,-11.71954322567
violinist,-9.110344046
waiter,-2.7136705
waitress,-7.755871396000001
wall,-8.710507278
window,-8.598120166400001
windshield,-9.9095421967
woman,-12.18970848
wood,-12.12338169939
wool,-11.5427564767
worker,-0.252178
wound,-7.99989835
yarn,-12.49205624817
