noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-1.35256573
actor,1,1.0,-6.263129477
aircraft,3,1.0,-2.443873148333333
album,3,1.0,-6.618591770000001
animal,2,1.0,-10.76042342485
announcer,2,0.0,5.480229420000001
artisan,4,1.0,-6.07682244225
artist,4,1.0,-3.7958499728749997
author,2,1.0,-2.7409777
aviator,3,1.0,-6.696623602833333
backpack,2,1.0,-10.7285948137
backpacker,2,1.0,-9.10901664755
bag,2,1.0,-10.7929266225
baker,6,1.0,-8.932260608816668
barber,7,1.0,-5.607152695771428
basket,2,1.0,-10.18039314575
beard,3,1.0,-15.134084988609999
bedding,5,0.4,0.3036184200000001
bike,4,1.0,-8.190299494089999
blanket,2,1.0,-9.851670285099999
blogger,2,1.0,-5.260186445
board,4,1.0,-2.73411282425
book,3,1.0,-4.455201140000001
bottle,2,1.0,-3.7825163560000004
bowl,2,1.0,-7.5271037646
bread,3,1.0,-12.17031728203
broadcaster,2,1.0,-1.0877676150000002
building,2,1.0,-7.132753525
bus,3,1.0,-4.9795697423666665
busboy,5,1.0,-5.79621949754
businessman,3,0.0,4.051764080000001
businesswoman,3,1.0,-3.174551145
butcher,4,1.0,-3.29011340825
cake,3,1.0,-15.395442314396666
cameraman,2,1.0,-3.816104267
camper,2,1.0,-6.2359128225
canvas,4,1.0,-8.045420694975
captain,3,1.0,-0.9016552366666667
car,12,1.0,-3.7448354025833335
cardboard,4,1.0,-5.4386428315
carpet,3,1.0,-4.9733813439
carver,7,1.0,-9.558038514542858
caterer,3,1.0,-6.964751314
cd,3,1.0,-8.442587856666668
cellist,2,1.0,-7.9101393635
cello,2,1.0,-11.95066079695
chauffeur,3,0.6666666666666666,-0.2483543399999999
chef,10,1.0,-3.9647791616300005
choreography,1,0.0,3.5606612600000003
clarinet,2,1.0,-8.04773240725
clarinetist,2,1.0,-7.025436653
clay,6,1.0,-11.278388342689999
cleaner,5,1.0,-3.3140620909999994
clerk,2,0.5,-0.52722886
cloth,8,1.0,-10.691864857375
coat,2,1.0,-10.19779058405
code,2,1.0,-2.28876042
comedian,1,1.0,-3.92661729
concerto,1,1.0,-2.586561815
confectioner,3,1.0,-11.629094121966668
container,2,1.0,-9.4545215172
convertible,3,1.0,-4.542488684333333
cook,6,1.0,-8.966138164653335
cotton,4,1.0,-11.123638841290001
countertop,3,1.0,-6.152375792033333
crate,2,1.0,-8.5588729382
cushion,4,1.0,-12.0347010268475
cut,4,1.0,-6.5311883826749995
dancer,1,1.0,-9.0740882844
dealer,3,0.0,5.32107876
dish,2,1.0,-10.3357023874
doctor,2,0.0,4.24152204
dough,3,1.0,-12.74324330514
dressmaker,4,1.0,-8.490408164775
driver,7,0.8571428571428571,-1.2607618961428568
drug,3,1.0,-3.6382000600000004
drummer,2,1.0,-6.576929341
duffle,2,1.0,-5.161912795
essay,4,1.0,-4.400669102
essayist,2,1.0,-4.617392787
fabric,20,1.0,-8.675771839065002
fillet,3,1.0,-10.212107138666665
fish,3,1.0,-11.621316164213333
floor,3,1.0,-3.9712421376666662
flute,2,1.0,-8.7319178932
flutist,2,1.0,-10.31910032675
food,2,1.0,-4.06777648
gem,4,1.0,-13.6079661769925
glass,4,1.0,-6.9766945396
hairdresser,7,0.7142857142857143,-1.141774777142857
handle,4,0.25,-0.05306978675000029
hat,3,1.0,-10.3941609945
herb,3,1.0,-14.277912327033334
hiker,2,1.0,-8.06887098505
housekeeper,3,1.0,-6.2563101733333335
ice,7,1.0,-12.217197022928572
illustrator,4,1.0,-3.57063936875
ingredient,3,1.0,-4.861766711333333
instrument,2,1.0,-12.8800922315
item,3,1.0,-3.4871187173333333
jacket,2,1.0,-8.5719311969
janitor,3,1.0,-3.7009840393333335
jet,3,1.0,-6.871635982433332
jeweler,4,1.0,-4.690341564500001
jewelry,3,1.0,-5.907236599033333
journalist,2,1.0,-0.3030504249999999
kite,3,1.0,-6.995382616666667
knob,4,1.0,-3.9699951651500003
lady,5,1.0,-13.735218919988
lake,2,1.0,-10.437973299900001
landscape,2,1.0,-6.97439199
letter,2,1.0,-4.7875421565
line,2,1.0,-3.7154323600000003
lotion,3,1.0,-8.328470981333332
