noun,avg_LL_delta
abstract,-7.194316730000001
actor,-4.7166647
aircraft,-5.57726684
album,-7.802608969999999
animal,-6.5581581
announcer,-5.2728035
artisan,-3.5698814999999997
artist,-5.5761375
author,-3.7250585
aviator,-5.195510925
backpack,-4.2696731
backpacker,-4.0933677
bag,-7.1132873000000005
baker,-7.585131
barber,-9.45740854
basket,-6.806417260000001
beard,-6.90607913
bedding,-6.8077797
bike,-7.458281553
blanket,-8.0071103
blogger,-8.694345400000001
board,-6.314074699999999
book,-7.13252088
bottle,-5.3806771
bowl,-5.990606039999999
bread,-5.4541172
broadcaster,-7.32143774
building,-6.74650624
bus,-6.849747
busboy,-5.418474699999999
businessman,-6.690892999999999
businesswoman,-5.8670607
butcher,-7.6529215
cake,-7.9005441
cameraman,-5.3095203
camper,-6.69622352
canvas,-7.443297159999999
captain,-3.9231967
car,-6.709143200000001
cardboard,-8.278058699999999
carpet,-6.007040199999999
carver,-7.39730985
caterer,-3.5558513000000005
cd,-9.7780547
cellist,-7.46277146
cello,-7.96119682
chauffeur,-4.0919443
chef,-5.742078
choreography,-5.490182900000001
clarinet,-7.38795394
clarinetist,-6.076299199999999
clay,-5.67915227
cleaner,-3.9916072
clerk,-5.745489600000001
cloth,-5.9233666
coat,-6.98838553
code,-9.65620237
comedian,-4.3035966
concerto,-6.7249460700000006
confectioner,-6.7003936
container,-5.163579299999999
convertible,-6.87734013
cook,-7.13634495
cotton,-6.65453604
countertop,-7.748791235
crate,-10.03205568
cushion,-6.61717769
cut,-7.94666502
dancer,-7.67496012
dealer,-6.769912999999999
dish,-6.30056612
doctor,-10.52239998
dough,-6.164303
dressmaker,-7.990236540000001
driver,-6.38109735
drug,-7.90285141
drummer,-7.394608499999999
duffle,-7.3112596
essay,-6.69020753
essayist,-5.648883
fabric,-6.5802467
fillet,-7.218381699999999
fish,-6.755178937
floor,-4.8736742
flute,-9.706899485
flutist,-8.126507740000001
food,-7.7458352
gem,-8.535988699999999
glass,-7.59263773
hairdresser,-8.69953789
handle,-5.9067965
hat,-7.880070689999999
herb,-7.99511261
hiker,-4.6997251
housekeeper,-4.146252199999999
ice,-7.826099753999999
illustrator,-5.7444918
ingredient,-1.8809409000000008
instrument,-8.0763273
item,-5.8538724
jacket,-5.9874874
janitor,-3.8520623
jet,-7.422888188999999
jeweler,-6.0214641
jewelry,-6.941819049999999
journalist,-5.6694616
kite,-8.609889845
knob,-7.56454866
lady,-9.88163034
lake,-3.7428723
landscape,-5.1648895
letter,-6.898540000000001
line,-6.31577
lotion,-3.4340419
lunchbox,-7.21004527
machine,-9.180913515
magazine,-8.23523691
maid,-3.2897589000000003
make,-4.8965546
man,-7.380421640000001
marble,-6.5691065250000005
mason,-6.1314636
material,-3.7748386000000007
meat,-6.6791746000000005
mirror,-7.73494735
model,-8.3642465
motorcycle,-8.640079682
motorist,-4.0788496
mountain,-7.249990148
mover,-3.6110118
mushroom,-8.649783811999999
musician,-6.94548105
narrator,-1.9813647000000003
notetaker,-6.7406978
novel,-4.988837800000001
novelist,-4.259786500000001
orator,-3.844069
packaging,-5.48829
painter,-7.684786
panel,-8.057042200000001
paper,-7.43000185
passage,-4.1060552
pastry,-9.47576824
patissier,-5.312784800000001
pattern,-7.519447699999999
peddler,-6.1058974
pepper,-7.54344564
person,-4.8994027
photographer,-7.460153719999999
pianist,-7.823452039999999
piano,-8.776624711
pie,-7.256024249999999
pilot,-5.2935211
pizza,-7.10896597
plane,-6.53989431
poem,-7.779935919999999
poet,-6.6734160000000005
portraitist,-6.44994456
pot,-7.63910107
potato,-8.825825328999999
potter,-7.0081628600000005
product,-5.5410115
professor,-6.5563046
proposal,-6.6427306
pumpkin,-9.46654859
quilt,-9.5235486
racer,-7.43840486
report,-5.7782822
roadtripper,-4.0094125
routine,-7.008668999999999
salesman,-5.3777302
saleswoman,-3.9826536
salmon,-7.222809634
scene,-3.3312954999999995
screw,-8.93456548
scribe,-3.981672500000001
script,-6.3984076
sculptor,-8.11254496
seamster,-5.1792543
seamstress,-7.64213
section,-8.654455
shirt,-7.801874584
shopkeeper,-7.5003546
sideburn,-9.05227014
silk,-6.7751578740000005
silverware,-6.752363602
singer,-5.6378377
snack,-7.4098369
soloist,-3.3348934
sonata,-7.383668299999999
song,-8.220910830000001
steak,-8.25562938
stone,-8.38101288
stubble,-7.7207974
student,-7.153952200000001
suitcase,-6.1062142
surface,-3.5547068
surgeon,-12.131740483
suv,-6.4268316
tailor,-6.671280299999999
tank,-4.8872802
teacher,-7.29664584
telemarketer,-8.219031039999999
tent,-8.562339405
thread,-7.53081188
toy,-9.5917756
tractor,-6.237437740000001
trader,-3.9594517
traveller,-3.803212
truck,-6.5630866
tub,-7.1480614760000005
tuna,-6.6901161
turkey,-8.142777685
upholsterer,-5.427387599999999
valve,-8.29181788
van,-8.122278190000001
vegetable,-6.814235060000001
vehicle,-6.33895223
verse,-5.5630149
view,-6.08562557
violin,-8.00835344
violinist,-6.5743394
waiter,-5.8570353
waitress,-6.648111699999999
wall,-7.0920000000000005
window,-5.844521
windshield,-6.21456259
woman,-9.32021535
wood,-6.905551652000001
wool,-5.59537193
worker,-4.4471313
wound,-7.1738466800000005
yarn,-7.62030907
