noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-2.0975844869999998
actor,1,0.0,1.0,-1.91013129
aircraft,3,1.0,1.0,-2.2292957766666666
album,3,1.0,1.0,-2.9683702933333334
animal,2,1.0,1.0,-2.520708875
announcer,2,0.0,1.0,-1.797808475
artisan,4,0.0,1.0,-2.8162440415
artist,4,0.0,1.0,-2.9247082200000003
author,2,0.0,0.0,-3.051753878
aviator,3,0.0,1.0,-2.3624293716666664
backpack,2,1.0,1.0,-2.408160167
backpacker,2,0.0,1.0,-3.06500141
bag,2,1.0,1.0,-2.4308184375
baker,6,0.0,1.0,-3.92694908525
barber,7,0.0,1.0,-2.4440826194285714
basket,2,1.0,1.0,-2.913211925
beard,3,1.0,1.0,-3.162127213666667
bedding,5,1.0,1.0,-3.5283693788
bike,4,1.0,1.0,-3.7575879555
blanket,2,1.0,1.0,-4.3416829295
blogger,2,0.0,1.0,-2.6706570075
board,4,1.0,1.0,-2.582527658
book,3,1.0,1.0,-2.7461684086666662
bottle,2,1.0,1.0,-2.903022012
bowl,2,1.0,1.0,-3.403518709
bread,3,1.0,1.0,-5.125490498133334
broadcaster,2,0.0,1.0,-2.2212967875
building,2,1.0,1.0,-1.85371741
bus,3,1.0,1.0,-3.2669758973333334
busboy,5,0.0,1.0,-2.835110195
businessman,3,0.0,1.0,-1.9923456333333334
businesswoman,3,0.0,1.0,-1.8761722833333334
butcher,4,0.0,1.0,-2.5519348275
cake,3,1.0,1.0,-5.795646636433332
cameraman,2,0.0,1.0,-1.912344765
camper,2,0.0,1.0,-3.0374918515
canvas,4,1.0,1.0,-3.5110818102500003
captain,3,0.0,1.0,-2.10244855
car,12,1.0,1.0,-3.4806332939166666
cardboard,4,1.0,1.0,-3.4724774625
carpet,3,1.0,1.0,-3.974435924
carver,7,0.0,1.0,-3.0401036168571425
caterer,3,0.0,1.0,-2.954294729333333
cd,3,1.0,1.0,-3.145143996333333
cellist,2,0.0,1.0,-2.8991089465
cello,2,1.0,1.0,-2.928835625
chauffeur,3,0.0,1.0,-2.4718428333333335
chef,10,0.0,1.0,-2.4655497357000002
choreography,1,1.0,1.0,-2.24871703
clarinet,2,1.0,1.0,-2.6257141225
clarinetist,2,0.0,1.0,-2.4334631079999998
clay,6,1.0,0.0,-4.522946542666667
cleaner,5,0.0,1.0,-2.6667436007999994
clerk,2,0.0,1.0,-3.1949035415
cloth,8,1.0,1.0,-3.854829791125
coat,2,1.0,1.0,-3.4771768410000004
code,2,1.0,0.0,-2.5498969049999998
comedian,1,0.0,1.0,-2.63995328
concerto,1,1.0,1.0,-2.8856006
confectioner,3,0.0,1.0,-3.4335531390000003
container,2,1.0,1.0,-2.270063882
convertible,3,1.0,1.0,-2.571139357333333
cook,6,0.0,1.0,-3.041018981166667
cotton,4,1.0,1.0,-4.5957133835
countertop,3,1.0,1.0,-2.5749293166666667
crate,2,1.0,1.0,-2.8787098725
cushion,4,1.0,1.0,-4.689604309875
cut,4,1.0,1.0,-3.3599212915
dancer,1,0.0,1.0,-2.817260644
dealer,3,0.0,1.0,-2.6670539866666663
dish,2,1.0,1.0,-4.7868754055
doctor,2,0.0,1.0,-2.253182755
dough,3,1.0,1.0,-5.508618604333333
dressmaker,4,0.0,1.0,-4.1590008030000005
driver,7,0.0,1.0,-2.7973506562857144
drug,3,1.0,1.0,-2.6695719133333333
drummer,2,0.0,1.0,-2.703920377
duffle,2,1.0,1.0,-2.93054755
essay,4,1.0,0.0,-3.40003071275
essayist,2,0.0,1.0,-4.005748197
fabric,20,1.0,1.0,-3.5708556426499998
fillet,3,1.0,1.0,-4.3755177283333335
fish,3,1.0,1.0,-4.724111208666667
floor,3,1.0,1.0,-3.1111097336666664
flute,2,1.0,1.0,-2.6311281600000003
flutist,2,0.0,1.0,-2.920488952
food,2,1.0,1.0,-3.3590474
gem,4,1.0,1.0,-2.787150964
glass,4,1.0,1.0,-3.0607002229999996
hairdresser,7,0.0,1.0,-2.093544174285715
handle,4,1.0,1.0,-1.8715545
hat,3,1.0,1.0,-1.8575661133333334
herb,3,1.0,1.0,-4.639346443
hiker,2,0.0,1.0,-2.9533517975
housekeeper,3,0.0,1.0,-3.3356767716666664
ice,7,1.0,1.0,-2.9759987810000004
illustrator,4,0.0,1.0,-2.929636313
ingredient,3,1.0,1.0,-3.0149977693333336
instrument,2,1.0,1.0,-2.4574986075
item,3,1.0,1.0,-2.0099689250000004
jacket,2,1.0,1.0,-3.0143461745
janitor,3,0.0,1.0,-2.8750180593333337
jet,3,1.0,1.0,-2.07935809
jeweler,4,0.0,1.0,-2.340257215
jewelry,3,1.0,1.0,-3.425080518
journalist,2,0.0,1.0,-2.4847239025
kite,3,1.0,1.0,-3.2272016029999997
knob,4,1.0,1.0,-2.1456158875
lady,5,0.0,1.0,-3.3678789876
lake,2,1.0,1.0,-3.5104458689999998
landscape,2,1.0,1.0,-2.6162014225
letter,2,1.0,1.0,-2.41217071
line,2,1.0,1.0,-1.4390747899999998
lotion,3,1.0,1.0,-2.8457351610000003
lunchbox,2,1.0,1.0,-3.374734652
machine,8,0.0,1.0,-3.4295419778750005
magazine,3,1.0,1.0,-2.818372378333333
maid,5,0.0,1.0,-2.6561598662
make,3,1.0,1.0,-2.3854812866666664
man,5,0.0,1.0,-4.2676829612
marble,3,1.0,1.0,-2.69218306
mason,3,0.0,1.0,-2.9459747750000003
material,4,1.0,1.0,-3.66743087675
meat,7,1.0,1.0,-3.4846193067857145
mirror,3,1.0,1.0,-2.694327646666667
model,2,1.0,1.0,-1.95633424
motorcycle,4,1.0,1.0,-3.4142759785
motorist,4,0.0,1.0,-2.9611826985
mountain,2,1.0,1.0,-2.91877632
mover,2,0.0,1.0,-2.4894608505
mushroom,3,1.0,1.0,-4.158731285666666
musician,3,0.0,1.0,-2.5724860966666667
narrator,2,0.0,1.0,-3.372299565
notetaker,2,0.0,1.0,-4.308018508
novel,3,1.0,1.0,-3.299695847
novelist,2,0.0,1.0,-3.906505319
orator,2,0.0,1.0,-2.6143527325
packaging,4,1.0,1.0,-1.8619831165
painter,4,0.0,1.0,-3.2018965180000003
panel,4,1.0,1.0,-2.57905212675
paper,4,1.0,1.0,-2.71712620075
passage,6,1.0,1.0,-3.4261988281666667
pastry,3,1.0,1.0,-5.299975428333333
patissier,3,0.0,1.0,-3.845081739
pattern,5,1.0,1.0,-3.3223504135999997
peddler,3,0.0,1.0,-3.47287856
pepper,3,1.0,1.0,-3.983255642333333
person,30,0.0,1.0,-3.0670560845333346
photographer,2,0.0,1.0,-1.514492825
pianist,2,0.0,1.0,-2.9409917525000004
piano,2,1.0,1.0,-3.0305726925
pie,3,1.0,1.0,-5.245849258
pilot,7,0.0,1.0,-2.4342488591428575
pizza,3,1.0,1.0,-4.9613613113333335
plane,3,1.0,1.0,-2.8776364900000004
poem,2,1.0,1.0,-3.13707507
poet,2,0.0,1.0,-3.6520383675000003
portraitist,4,0.0,1.0,-3.2463609074999997
pot,3,1.0,1.0,-3.3037792636666663
potato,3,1.0,1.0,-5.498821160000001
potter,3,0.0,1.0,-3.3078903106666666
product,3,1.0,1.0,-2.8934602913333336
professor,2,0.0,1.0,-2.627363452
proposal,2,1.0,1.0,-3.4390403110000003
pumpkin,4,1.0,1.0,-5.096716962125001
quilt,4,1.0,1.0,-5.30312366525
racer,4,0.0,1.0,-3.07228131675
report,2,1.0,1.0,-2.171472805
roadtripper,2,0.0,1.0,-3.229634452
routine,1,1.0,1.0,-3.058317177
salesman,3,0.0,1.0,-1.73511757
saleswoman,3,0.0,1.0,-1.5802777099999998
salmon,3,1.0,1.0,-4.9435095845333334
scene,1,1.0,1.0,-2.48510599
screw,4,1.0,1.0,-1.5711413300000001
scribe,2,0.0,1.0,-3.574103287
script,2,1.0,1.0,-1.4914627550000001
sculptor,7,0.0,1.0,-2.5047455271428576
seamster,8,0.0,1.0,-4.0608393795
seamstress,4,0.0,1.0,-3.1723352814999997
section,2,1.0,1.0,-3.0730782210000003
shirt,2,1.0,1.0,-4.2606984385
shopkeeper,3,0.0,1.0,-2.9928532396666667
sideburn,3,1.0,1.0,-2.5965115549999997
silk,4,1.0,1.0,-4.41273137525
silverware,3,1.0,1.0,-2.7234667186666663
singer,1,0.0,1.0,-2.47513203
snack,3,1.0,1.0,-3.5547906620000003
soloist,1,0.0,1.0,-2.948820043
sonata,1,1.0,1.0,-3.934900036
song,1,1.0,1.0,-2.988719826
steak,7,1.0,1.0,-3.7776158655
stone,7,1.0,1.0,-3.1961269611428578
stubble,3,1.0,1.0,-2.6258402333333333
student,4,0.0,1.0,-3.57602855975
suitcase,2,1.0,1.0,-2.756763275
surface,7,1.0,1.0,-3.4521752441428575
surgeon,4,0.0,1.0,-2.783516144
suv,6,1.0,1.0,-3.1564803321666672
tailor,12,0.0,1.0,-3.724412377
tank,3,1.0,1.0,-3.045968316
teacher,2,0.0,1.0,-3.0499702610000003
telemarketer,3,0.0,1.0,-1.32110264
tent,2,1.0,1.0,-2.7486017625
thread,4,1.0,1.0,-3.802579406
toy,3,1.0,1.0,-2.497271142
tractor,3,1.0,1.0,-3.625708057
trader,3,0.0,1.0,-2.950236182333333
traveller,2,0.0,1.0,-2.9194583885
truck,3,1.0,1.0,-3.828361971
tub,2,1.0,1.0,-3.7455805865
tuna,3,1.0,1.0,-4.465825469333333
