noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,2.1105482600000003
actor,1,1.0,9.43042329
aircraft,3,1.0,6.2798805
album,3,1.0,4.670656659666666
animal,2,1.0,4.88430302
announcer,2,1.0,8.1065388257
artisan,4,1.0,8.148224606375
artist,4,1.0,8.106155675875
author,2,1.0,8.4666275645
aviator,3,1.0,8.198376444666666
backpack,2,1.0,3.287984514
backpacker,2,1.0,5.355377542499999
bag,2,1.0,3.5757616180000005
baker,6,1.0,5.913880341733333
barber,7,1.0,9.055094713299999
basket,2,1.0,3.853416278
beard,3,1.0,6.6894885815
bedding,5,1.0,3.6278811446
bike,4,1.0,2.3236923
blanket,2,1.0,1.096822235
blogger,2,1.0,8.2072731048
board,4,1.0,7.89108400275
book,3,1.0,6.8815526325
bottle,2,1.0,4.1465255249999995
bowl,2,1.0,2.34765436
bread,3,1.0,0.9238826133333333
broadcaster,2,1.0,7.745071283350001
building,2,1.0,4.2945880495
bus,3,1.0,4.709558142666666
busboy,5,1.0,5.9835136128999995
businessman,3,1.0,11.299420933166667
businesswoman,3,1.0,11.473569344666666
butcher,4,1.0,10.016533454000001
cake,3,1.0,0.7770976466666667
cameraman,2,1.0,8.97321503495
camper,2,1.0,1.731801255
canvas,4,1.0,3.6376815420000006
captain,3,1.0,10.8820106757
car,12,1.0,4.982839070391667
cardboard,4,1.0,5.9118905615
carpet,3,1.0,5.925130031999999
carver,7,1.0,8.533911554214287
caterer,3,1.0,6.6868223208333335
cd,3,1.0,5.892449425500001
cellist,2,1.0,4.5257677065
cello,2,1.0,3.5966189395
chauffeur,3,1.0,8.146331463466666
chef,10,1.0,7.613923882590001
choreography,1,1.0,5.53935855
clarinet,2,1.0,2.9564127365
clarinetist,2,1.0,5.90631758775
clay,6,1.0,3.245936249833333
cleaner,5,1.0,9.1478642123
clerk,2,1.0,6.871713162300001
cloth,8,1.0,3.9689836653
coat,2,1.0,2.5941525524999998
code,2,1.0,10.01122048315
comedian,1,1.0,8.541341859900001
concerto,1,1.0,5.7279569937
confectioner,3,1.0,5.809287470866667
container,2,1.0,5.8580674165
convertible,3,1.0,4.372150732333334
cook,6,1.0,5.683534710016667
cotton,4,1.0,4.6982462645
countertop,3,1.0,7.2357645778999995
crate,2,1.0,4.2516963725000005
cushion,4,1.0,2.6318471915000003
cut,4,1.0,4.362861962
dancer,1,1.0,5.457618827999999
dealer,3,1.0,11.227286833233334
dish,2,1.0,1.94945232
doctor,2,1.0,10.87513229405
dough,3,1.0,1.2564507266666667
dressmaker,4,1.0,7.416865591524999
driver,7,1.0,9.4616824514
drug,3,1.0,7.049656334433333
drummer,2,1.0,4.077860058500001
duffle,2,1.0,4.3653015315
essay,4,0.5,0.9261540122499999
essayist,2,1.0,9.15383143135
fabric,20,1.0,5.4418550953
fillet,3,0.3333333333333333,0.09990551666666674
fish,3,0.0,-0.3981057166666666
floor,3,1.0,5.754306143666668
flute,2,1.0,4.419486598000001
flutist,2,1.0,5.523115876
food,2,1.0,1.860752443
gem,4,1.0,7.1376967734
glass,4,1.0,4.6685637055
hairdresser,7,1.0,9.763418611885713
handle,4,1.0,10.307676079874998
hat,3,1.0,6.879156691666666
herb,3,1.0,2.8854427333333335
hiker,2,1.0,3.557308942
housekeeper,3,1.0,8.633904933266665
ice,7,1.0,5.879064363014286
illustrator,4,1.0,7.453861749424999
ingredient,3,1.0,2.5457559113333335
instrument,2,1.0,5.1494898745
item,3,1.0,7.1678959319999995
jacket,2,1.0,3.085051111
janitor,3,1.0,10.235101404333333
jet,3,1.0,7.575953073000001
jeweler,4,1.0,10.035981542725
jewelry,3,1.0,7.285606561800001
journalist,2,1.0,9.9627514896
kite,3,1.0,3.448988375666667
knob,4,1.0,8.362530097275
lady,5,0.8,3.9614920966000007
lake,2,1.0,1.17115328
landscape,2,1.0,0.9205371
letter,2,1.0,2.301440855
line,2,1.0,1.205396585
lotion,3,1.0,6.7147745463333335
lunchbox,2,1.0,2.604634025
machine,8,1.0,7.7977969232625
magazine,3,1.0,6.6653987723000006
maid,5,1.0,6.398359495679999
make,3,1.0,8.878000955600001
man,5,0.8,4.99166468694
marble,3,1.0,4.398537052999999
mason,3,1.0,7.531387699
material,4,0.75,2.457169603
meat,7,1.0,4.208814677
mirror,3,1.0,8.106019732433333
model,2,1.0,6.30100583895
motorcycle,4,1.0,4.96478457575
motorist,4,1.0,7.778884919425001
mountain,2,1.0,2.37658079
mover,2,1.0,7.317447757749999
mushroom,3,1.0,2.2213624133333334
musician,3,1.0,5.210377831533333
narrator,2,1.0,5.919195865000001
notetaker,2,1.0,7.8272708754
novel,3,1.0,7.3892623681
novelist,2,1.0,10.700145152400001
orator,2,1.0,6.0927512723
packaging,4,1.0,6.89686083375
painter,4,1.0,8.515089145575
panel,4,1.0,5.93546587525
paper,4,1.0,5.887230703749999
passage,6,1.0,1.8487191505000002
pastry,3,1.0,1.1611723133333334
patissier,3,1.0,7.363447485633333
pattern,5,0.8,1.4303569379999999
peddler,3,1.0,8.531444773666667
pepper,3,1.0,3.2180482950000004
person,30,0.9666666666666667,5.4170605976166675
photographer,2,1.0,9.55717935765
pianist,2,1.0,6.38258433285
piano,2,1.0,4.401731405
pie,3,1.0,0.4118667766666666
pilot,7,1.0,11.014814486042855
pizza,3,0.6666666666666666,0.21020679333333328
plane,3,1.0,5.324261281666666
poem,2,1.0,2.283605045
poet,2,1.0,8.0008481078
portraitist,4,1.0,8.655701334749999
pot,3,1.0,7.070477765
potato,3,1.0,0.55647127
potter,3,1.0,7.5077396256333335
product,3,1.0,7.831964226999999
professor,2,1.0,11.92601071475
proposal,2,1.0,7.4026303195
pumpkin,4,1.0,3.856427363
quilt,4,0.75,1.121952995
racer,4,1.0,6.81883146875
report,2,1.0,1.707737335
roadtripper,2,1.0,3.6380552385
routine,1,1.0,6.036684276
salesman,3,1.0,13.820675265766667
saleswoman,3,1.0,12.6522451162
salmon,3,0.0,-0.6495033866666666
scene,1,1.0,5.512339441
screw,4,1.0,8.9740845178
scribe,2,1.0,8.69743134625
script,2,1.0,3.4096471475000003
sculptor,7,1.0,9.304695416771429
seamster,8,1.0,6.559577424299999
seamstress,4,1.0,5.7218548766
section,2,1.0,5.4144266535
shirt,2,1.0,1.194983595
shopkeeper,3,1.0,9.461550994333335
sideburn,3,1.0,7.451041007433332
silk,4,1.0,5.9832919848
silverware,3,1.0,7.776264942
singer,1,1.0,6.0057774154
snack,3,1.0,5.139122128666667
soloist,1,1.0,6.6709832338
sonata,1,1.0,4.492609372
song,1,1.0,6.3332262883
steak,7,0.8571428571428571,2.56933271
stone,7,1.0,6.372082242057144
stubble,3,1.0,5.638696526
student,4,1.0,2.77678466425
suitcase,2,1.0,3.11919514
surface,7,1.0,7.477071012957144
surgeon,4,1.0,10.183497901700001
suv,6,1.0,6.033829252833333
tailor,12,1.0,7.618320698850002
