verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.8333333333333334,0.9166666666666666,0.8809523809523809,2.1438619540888886,-1.3936990163333336
carves,20,28,1.0,0.0,0.4166666666666667,9.337601793530002,3.2938303883214286
cleans,21,33,1.0,0.0,0.3888888888888889,8.738550316247618,4.12879768780606
cooks,12,33,1.0,0.9090909090909091,0.9333333333333333,4.868546361100001,-1.565466595363636
cuts,16,24,1.0,0.0,0.4,9.364969281050001,4.0945114650375
drives,9,27,1.0,0.0,0.25,7.8437168263666655,5.081610114992592
embroiders,12,16,0.9166666666666666,0.3125,0.5714285714285714,6.104245136725001,0.7570026139999999
flies,12,12,1.0,0.0,0.5,7.0813165631166655,4.723431647708334
knits,20,15,0.8,0.7333333333333333,0.7714285714285715,2.54372157062,-1.0552615198666666
packs,16,24,0.9375,0.20833333333333334,0.5,2.69225367761875,0.8719152235
paints,20,28,0.95,0.25,0.5416666666666666,6.555472299064999,1.4994969406785714
performs,7,6,1.0,0.0,0.5384615384615384,6.232149303428571,2.620183196833333
photographs,4,14,1.0,0.21428571428571427,0.3888888888888889,11.092275128474999,1.2359209725714284
plays,14,12,1.0,0.0,0.5384615384615384,6.509818510928571,4.148264494433334
reads,14,20,0.9285714285714286,0.85,0.8823529411764706,5.3348288253,-1.90474815615
sculpts,15,15,1.0,0.0,0.5,8.499439988546667,2.8795380290333332
sells,27,45,1.0,0.0,0.375,9.64964816622222,4.1991234821244445
sews,12,8,1.0,0.25,0.7,7.148145217349999,0.41113433575000013
shaves,6,9,1.0,0.0,0.4,11.303496695216666,4.750507050255555
stitches,20,28,0.95,0.2857142857142857,0.5625,7.03857849212,0.7676296067857145
turns,16,28,1.0,0.07142857142857142,0.4090909090909091,5.534888064293751,3.567502999003571
washes,8,18,1.0,0.4444444444444444,0.6153846153846154,4.8792869760375,0.5934232472777777
writes,24,10,1.0,0.0,0.7058823529411765,8.762330195970833,4.292223688570001
