model,overall_acc
bloom-560m,0.9315403422982885
bloom-1b1,0.4572127139364303
bloom-1b7,0.988997555012225
bloom-3b,0.8948655256723717
bloom-7b1,1.0
gpt2-small,0.21026894865525672
gpt2-medium,1.0
gpt2-large,0.6234718826405868
gpt2-xl,1.0
gpt3-ada,0.9987775061124694
gpt3-babbage,1.0
gpt3-curie,1.0
gpt3-davinci,0.9987775061124694
text-ada-001,0.9327628361858191
text-babbage-001,0.9938875305623472
text-curie-001,0.9633251833740831
text-davinci-001,0.42665036674816625
text-davinci-003,0.9841075794621027
