noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-0.63525390625,-2.400390625,patient,agent,1.76513671875,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.59716796875,-2.47265625,agent,agent,1.87548828125,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-0.390869140625,-2.15625,patient,agent,1.765380859375,0.5512745470387167,0.58333333325,1.176470588
album,-0.51220703125,-1.7939453125,patient,agent,1.28173828125,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-0.287353515625,-2.583984375,patient,agent,2.296630859375,0.6993929901941651,0.72222222225,1.281045752
announcer,-0.5,-3.046875,agent,agent,2.546875,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.219970703125,-2.220703125,agent,agent,2.000732421875,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-0.270751953125,-2.380859375,agent,agent,2.110107421875,0.8388102441595283,0.9305555555,0.2124183007
author,-0.371826171875,-3.44921875,agent,agent,3.077392578125,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.1580810546875,-2.564453125,agent,agent,2.4063720703125,0.6835275033180946,0.9444444445,0.1830065359
backpack,-0.414306640625,-1.7109375,patient,agent,1.296630859375,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-0.2017822265625,-2.263671875,agent,agent,2.0618896484375,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-0.42724609375,-2.052734375,patient,agent,1.62548828125,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.216552734375,-2.404296875,agent,agent,2.187744140625,0.8327493152398071,0.875,0.7352941176
barber,-0.271728515625,-1.927734375,agent,agent,1.656005859375,0.7248762775364598,0.9305555555,0.2124183007
basket,-0.361572265625,-1.751953125,patient,agent,1.390380859375,0.2088464198880839,0.19444444449999998,1.006535948
beard,-0.2220458984375,-1.9873046875,patient,agent,1.7652587890625,0.3522682168119178,0.15277777775,0.4869281046
bedding,-0.52490234375,-1.322265625,patient,agent,0.79736328125,0.3901065107242925,0.15277777775,0.839869281
bike,-0.353515625,-1.837890625,patient,agent,1.484375,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-0.454833984375,-1.376953125,patient,agent,0.922119140625,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.253662109375,-2.94140625,agent,agent,2.687744140625,0.8292682926829268,0.861111111,0.614379085
board,-0.34619140625,-1.939453125,patient,agent,1.59326171875,0.7414235775059675,0.18055555550000002,0.5653594771
