noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-1.2635866403579712,-0.5756393671035767,patient,patient,-0.6879472732543945,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-1.0715783834457395,-1.2676118612289429,agent,agent,0.19603347778320335,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.6035795211791992,-0.3664560616016388,patient,patient,-1.2371234595775604,0.5512745470387167,0.58333333325,1.176470588
album,-1.374441385269165,-0.3955119252204895,patient,patient,-0.9789294600486755,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-1.4142324924468994,-0.4711935520172119,patient,patient,-0.9430389404296875,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.1172319650650024,-1.1355568170547483,agent,agent,0.01832485198974587,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.7225947380065918,-1.1074366569519043,agent,agent,0.3848419189453125,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.3302676677703855,-0.9835898876190186,agent,patient,-0.34667778015136697,0.8388102441595283,0.9305555555,0.2124183007
author,-0.6470450758934021,-1.5563230514526367,agent,agent,0.9092779755592346,0.9103466492053656,0.888888889,0.4967320261
aviator,-1.243921995162964,-0.6096408367156982,agent,patient,-0.6342811584472658,0.6835275033180946,0.9444444445,0.1830065359
backpack,-1.361008644104004,-0.4500207304954529,patient,patient,-0.910987913608551,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-1.088239669799805,-0.6838741302490234,agent,patient,-0.40436553955078147,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.5771573781967163,-0.3505748212337494,patient,patient,-1.226582556962967,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.209477424621582,-0.6006107926368713,agent,patient,-0.6088666319847107,0.8327493152398071,0.875,0.7352941176
barber,-1.4071149826049805,-0.4753379225730896,agent,patient,-0.9317770600318909,0.7248762775364598,0.9305555555,0.2124183007
basket,-1.2366249561309814,-0.4865915775299072,patient,patient,-0.7500333786010742,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.1949992179870603,-0.5066943168640137,patient,patient,-0.6883049011230467,0.3522682168119178,0.15277777775,0.4869281046
bedding,-1.4511257410049438,-0.3945938646793365,patient,patient,-1.0565318763256073,0.3901065107242925,0.15277777775,0.839869281
bike,-1.4098728895187378,-0.398397296667099,patient,patient,-1.0114755928516388,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-1.429789423942566,-0.4039152860641479,patient,patient,-1.025874137878418,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.7807120084762573,-1.214389681816101,agent,agent,0.43367767333984375,0.8292682926829268,0.861111111,0.614379085
board,-1.2939331531524658,-0.5219767689704895,patient,patient,-0.7719563841819763,0.7414235775059675,0.18055555550000002,0.5653594771
book,-0.9492964744567872,-0.6904091835021973,patient,patient,-0.25888729095458995,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-1.7050504684448242,-0.3135384917259216,patient,patient,-1.3915119767189026,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-1.374353528022766,-0.4298611879348755,patient,patient,-0.9444923400878904,0.2281092633291224,0.13888888900000002,0.3790849673
