noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-2.0692368,-0.33965513,patient,patient,-1.72958167,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-1.7158725,-0.60857373,agent,patient,-1.1072987699999999,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.9224157,-0.6388045,patient,patient,-1.2836112,0.5512745470387167,0.58333333325,1.176470588
album,-2.0302565,-0.4791834,patient,patient,-1.5510731000000002,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-2.4237542,-0.49728835,patient,patient,-1.9264658499999998,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.8049403,-0.81751734,agent,patient,-0.98742296,0.9088548566583649,0.9444444445,0.1830065359
artisan,-1.0267656,-1.1996734,agent,agent,0.17290779999999994,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.568317,-1.4715353,agent,patient,-0.09678169999999997,0.8388102441595283,0.9305555555,0.2124183007
author,-1.4784664,-1.0961422,agent,patient,-0.3823242,0.9103466492053656,0.888888889,0.4967320261
aviator,-1.2095311,-0.9851831,agent,patient,-0.224348,0.6835275033180946,0.9444444445,0.1830065359
backpack,-2.022031,-0.6378762,patient,patient,-1.3841548000000001,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-2.180483,-0.7658062,agent,patient,-1.4146768,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-2.5935316,-0.8087492,patient,patient,-1.7847824,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.9086964,-0.51029146,agent,patient,-1.3984049399999998,0.8327493152398071,0.875,0.7352941176
barber,-2.4458308,-0.44826484,agent,patient,-1.99756596,0.7248762775364598,0.9305555555,0.2124183007
basket,-2.426255,-0.41325825,patient,patient,-2.0129967499999997,0.2088464198880839,0.19444444449999998,1.006535948
beard,-2.6444342,-0.34175324,patient,patient,-2.30268096,0.3522682168119178,0.15277777775,0.4869281046
bedding,-3.0676713,-0.3183295,patient,patient,-2.7493418000000003,0.3901065107242925,0.15277777775,0.839869281
bike,-1.7541254,-0.6732043,patient,patient,-1.0809210999999999,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-3.2344356,-0.20277572,patient,patient,-3.03165988,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-2.0444608,-0.8617615,agent,patient,-1.1826993,0.8292682926829268,0.861111111,0.614379085
board,-2.2376714,-0.8614011,patient,patient,-1.3762702999999998,0.7414235775059675,0.18055555550000002,0.5653594771
book,-1.8378118,-0.5301032,patient,patient,-1.3077086000000002,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-2.1851785,-0.40080896,patient,patient,-1.7843695400000001,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-2.5194607,-0.33658716,patient,patient,-2.18287354,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-1.9437479,-0.54401743,patient,patient,-1.39973047,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-2.4797,-0.79964066,agent,patient,-1.6800593399999997,0.8976559616094499,0.888888889,0.3790849673
building,-1.8458773,-0.6419122,patient,patient,-1.2039651,0.5989896090029184,0.22222222225,0.9281045752
bus,-2.2756512,-0.7317133,patient,patient,-1.5439379,0.3936552556306598,0.54166666675,1.205882353
busboy,-2.0289643,-0.69155955,agent,patient,-1.3374047500000001,0.7171145685997171,0.8194444445,0.5653594771
businessman,-1.6519493,-1.3190427,agent,patient,-0.33290660000000005,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-1.5031128,-1.0731133,agent,patient,-0.4299995000000001,0.7570036540803897,0.9305555555,0.3300653595
butcher,-2.3697405,-0.50614744,agent,patient,-1.86359306,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-2.3703012,-0.27228928,patient,patient,-2.0980119200000003,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-1.8191172,-0.8670223,agent,patient,-0.9520949,0.705324074074074,0.875,0.6176470588
camper,-2.10556,-0.41480815,agent,patient,-1.69075185,0.7956975142651014,0.8194444445,1.153594771
canvas,-2.3116655,-0.32039183,patient,patient,-1.9912736700000002,0.3871303934847232,0.125,0.3823529412
captain,-1.6017962,-0.73800474,agent,patient,-0.8637914599999998,0.7774360758884372,0.9027777777499999,0.3692810458
car,-1.7468697,-0.9587274,patient,patient,-0.7881423,0.3570064841756182,0.52777777775,1.163398693
cardboard,-2.5819604,-0.26930985,patient,patient,-2.31265055,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-2.2683897,-0.6788941,patient,patient,-1.5894956000000002,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-1.9377863,-0.576545,agent,patient,-1.3612413,0.8386251851851851,0.888888889,0.3790849673
caterer,-1.4879928,-1.0293097,agent,patient,-0.4586831,0.5684324715241367,0.875,0.5
cd,-2.857362,-1.381986,patient,patient,-1.4753760000000002,0.6047404328075499,0.25,0.8235294118
cellist,-2.0336485,-0.6656713,agent,patient,-1.3679772,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-2.2756526,-0.41397732,patient,patient,-1.86167528,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-1.3177642,-0.8428801,agent,patient,-0.47488410000000003,0.7000186396947015,0.8194444445,0.9183006536
chef,-1.5500787,-0.64728904,agent,patient,-0.90278966,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-1.9074565,-1.3114978,patient,patient,-0.5959587000000002,0.661941251596424,0.3194444445,0.9183006536
clarinet,-2.3785324,-0.58615214,patient,patient,-1.79238026,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-2.1019773,-0.8911905,agent,patient,-1.2107868000000002,0.7790178571428571,0.875,0.9705882353
clay,-2.066066,-0.47239068,patient,patient,-1.5936753200000002,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-1.6883872,-0.52776265,agent,patient,-1.16062455,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-1.8179334,-0.8770984,agent,patient,-0.9408350000000001,0.7568317979152734,0.8194444445,0.5653594771
cloth,-2.5106022,-0.5802453,patient,patient,-1.9303569,0.2985090774863912,0.15277777775,0.9575163399
coat,-2.0781744,-0.51504385,patient,patient,-1.56313055,0.2074233122822833,0.18055555550000002,0.6830065359
code,-2.400021,-0.2626798,patient,patient,-2.1373412000000003,0.4440540805082204,0.47222222225,1.751633987
comedian,-1.8478397,-0.74450725,agent,patient,-1.10333245,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-2.0005078,-0.93470436,patient,patient,-1.0658034399999998,0.3575925594705777,0.33333333325000003,1.294117647
confectioner,-1.8458084,-0.5124401,agent,patient,-1.3333683,0.788134135855546,0.888888889,0.3790849673
container,-1.7139491,-0.4669332,patient,patient,-1.2470159,0.4130819652046067,0.3055555555,0.8888888889
convertible,-1.9403306,-0.40259656,patient,patient,-1.5377340400000001,0.333927888903045,0.40277777775,1.075163399
cook,-1.842795,-0.41464582,agent,patient,-1.42814918,0.771662128955022,0.8472222222500001,0.9575163399
cotton,-2.699924,-0.23487535,patient,patient,-2.4650486500000004,0.5096950117448502,0.11111111099999998,0.7320261438
countertop,-2.560644,-0.6404966,patient,patient,-1.9201473999999998,0.4369747899159664,0.06944444449999998,0.3300653595
crate,-2.9190023,-0.32556918,patient,patient,-2.59343312,0.3601158910417259,0.13888888900000002,0.614379085
cushion,-2.847234,-0.19551507,patient,patient,-2.65171893,0.2348091623636633,0.125,0.3823529412
cut,-3.141785,-0.2542443,patient,patient,-2.8875407,0.37019957940763,0.25,0.8235294118
dancer,-1.8277305,-0.82144016,agent,patient,-1.00629034,0.7019863911947872,0.875,0.2647058824
dealer,-1.9554294,-0.8820431,agent,patient,-1.0733863000000001,0.7802627606935202,0.8472222222500001,0.6045751634
dish,-2.27755,-0.28755018,patient,patient,-1.9899998200000002,0.3054778558808377,0.16666666675000003,0.7058823529
doctor,-2.6540618,-0.25697106,agent,patient,-2.39709074,0.727197186722784,0.9166666667500001,0.3529411765
dough,-1.6609396,-1.0141785,patient,patient,-0.6467611,0.2847394090753257,0.22222222225,1.045751634
dressmaker,-1.6351484,-0.83968,agent,patient,-0.7954684000000001,0.7181686791925032,0.888888889,0.614379085
driver,-1.729739,-0.8464545,agent,patient,-0.8832844999999999,0.7163646518408429,0.875,0.2647058824
drug,-2.8320026,-0.2474712,patient,patient,-2.5845314,0.6016625445473285,0.41666666674999997,1.411764706
drummer,-1.863621,-0.75893056,agent,patient,-1.10469044,0.6652377441314151,0.888888889,0.3790849673
duffle,-3.0628214,-0.31326348,patient,patient,-2.74955792,0.5681492109038737,0.125,0.3823529412
essay,-2.0902214,-0.4604626,patient,patient,-1.6297587999999998,0.4579251467157587,0.29166666674999997,0.9705882353
essayist,-2.0049496,-0.6536133,agent,patient,-1.3513363000000003,0.83241330502477,0.9166666667500001,0.3529411765
fabric,-2.4923458,-0.5601674,patient,patient,-1.9321783999999997,0.4367859577448622,0.08333333324999997,0.4705882353
fillet,-1.9700625,-0.39894128,patient,patient,-1.57112122,0.4050479800016128,0.06944444449999998,0.4477124183
fish,-2.6972616,-0.34312522,patient,patient,-2.35413638,0.466691092091373,0.5694444445,0.8006535948
floor,-1.7721182,-0.8988084,patient,patient,-0.8733098,0.3981600225925663,0.09722222224999999,0.3692810458
flute,-2.7619293,-0.3576686,patient,patient,-2.4042607,0.2487283060154625,0.29166666674999997,0.9705882353
flutist,-2.06097,-0.6468931,agent,patient,-1.4140769000000002,0.5428265524625268,0.9027777777499999,0.3692810458
food,-2.327296,-0.50265855,patient,patient,-1.82463745,0.279496251612914,0.26388888899999996,0.8790849673
gem,-2.502665,-0.45857862,patient,patient,-2.04408638,0.5298536940509476,0.11111111099999998,0.3790849673
glass,-2.606086,-0.4544938,patient,patient,-2.1515922,0.2116331277533039,0.27777777775,0.9281045752
hairdresser,-2.0653863,-0.46483967,agent,patient,-1.6005466300000002,0.7012600969305331,0.8472222222500001,1.075163399
handle,-2.0041902,-0.34095946,patient,patient,-1.66323074,0.1769893706564569,0.125,0.3823529412
hat,-2.3622885,-0.490035,patient,patient,-1.8722535,0.1611221420146439,0.13888888900000002,0.614379085
herb,-2.2117016,-0.3451475,patient,patient,-1.8665541,0.4867927073263943,0.29166666674999997,1.088235294
hiker,-2.5519104,-0.7783052,agent,patient,-1.7736052,0.7838630806845965,0.9027777777499999,0.3692810458
housekeeper,-1.5237412,-0.7606092,agent,patient,-0.7631319999999999,0.650714095426448,0.8472222222500001,0.4869281046
ice,-2.6145637,-0.33442396,patient,patient,-2.28013974,0.6086624118660292,0.25,1.176470588
illustrator,-1.654782,-0.8517282,agent,patient,-0.8030537999999999,0.62625,0.9444444445,0.1830065359
ingredient,-1.4231437,-0.7014935,patient,patient,-0.7216502,0.7034270613461989,0.29166666674999997,0.9705882353
instrument,-2.4497154,-0.51912284,patient,patient,-1.93059256,0.5326638456423025,0.3055555555,0.6535947712
item,-2.0559945,-0.91907066,patient,patient,-1.1369238400000001,0.5915449746229394,0.19444444449999998,0.7712418301
jacket,-1.9893762,-0.37389386,patient,patient,-1.6154823399999998,0.135252417636453,0.16666666675000003,0.4705882353
janitor,-1.431193,-0.8041587,agent,patient,-0.6270342999999999,0.7745593454851711,0.888888889,0.4967320261
jet,-1.9677255,-0.57081777,patient,patient,-1.3969077300000001,0.5624798191798515,0.58333333325,0.8235294118
jeweler,-1.4519304,-0.8956685,agent,patient,-0.5562619,0.7374281609195402,0.875,0.5
jewelry,-2.1177363,-0.6441348,patient,patient,-1.4736014999999998,0.2255342095517772,0.09722222224999999,0.3692810458
journalist,-2.151586,-0.95140314,agent,patient,-1.20018286,0.8138479170633187,0.9027777777499999,0.3692810458
kite,-2.6461802,-0.2539435,patient,patient,-2.3922366999999998,0.4014406144197778,0.38888888899999996,0.8496732026
knob,-2.7092497,-0.35146275,patient,patient,-2.35778695,0.2054009004520378,0.15277777775,0.7222222222
lady,-2.3494084,-0.5162519,agent,patient,-1.8331565000000003,0.7152875856411037,0.72222222225,0.5751633987
lake,-3.0980365,-0.8232938,patient,patient,-2.2747427,0.613765862101466,0.19444444449999998,0.8888888889
landscape,-2.147732,-0.60527146,patient,patient,-1.54246054,0.5124950705027649,0.125,0.9705882353
letter,-2.5703506,-0.3181239,patient,patient,-2.2522266999999996,0.2604193705903665,0.27777777775,1.281045752
line,-2.3943307,-0.43938124,patient,patient,-1.95494946,0.4926438812469622,0.20833333324999997,0.9705882353
lotion,-1.8490359,-0.389506,patient,patient,-1.4595299000000002,0.3798640193967344,0.13888888900000002,0.8496732026
lunchbox,-2.6002975,-0.333098,patient,patient,-2.2671995,0.2488408037094281,0.13888888900000002,0.3790849673
machine,-1.9420433,-0.4289845,agent,patient,-1.5130588,0.5131729950809574,0.625,0.9705882353
magazine,-1.8664476,-0.59149194,patient,patient,-1.27495566,0.6617302627865612,0.20833333324999997,0.7352941176
maid,-1.6398262,-1.0741658,agent,patient,-0.5656603999999998,0.6277443715239496,0.888888889,0.3790849673
make,-2.0089855,-0.5799305,patient,patient,-1.429055,0.527764830397101,0.15277777775,0.839869281
man,-2.0578127,-0.4618463,agent,patient,-1.5959664,0.7554710730485904,0.736111111,0.6437908497
marble,-2.7381985,-0.19307192,patient,patient,-2.5451265800000002,0.5925970766927886,0.11111111099999998,0.7320261438
mason,-1.508131,-0.5410661,agent,patient,-0.9670649000000001,0.8182577761451758,0.763888889,1.820261438
material,-1.7469399,-0.8039372,patient,patient,-0.9430027000000001,0.4244436794726096,0.18055555550000002,0.6830065359
meat,-2.4417272,-0.39962438,patient,patient,-2.0421028199999998,0.2937742399320657,0.15277777775,0.6045751634
mirror,-2.6136858,-0.31909114,patient,patient,-2.29459466,0.4172552118154743,0.22222222225,0.5751633987
model,-2.030508,-0.7812394,patient,patient,-1.2492686000000002,0.5225791591861056,0.8055555555,0.5359477124
motorcycle,-1.8124934,-0.52553,patient,patient,-1.2869633999999999,0.1839998305515547,0.513888889,1.114379085
motorist,-2.0229957,-0.6895731,agent,patient,-1.3334226,0.7813624299616633,0.875,0.7352941176
mountain,-2.6739073,-0.48491395,patient,patient,-2.18899335,0.5334323833930582,0.16666666675000003,0.5882352941
mover,-1.6680549,-0.43004364,agent,patient,-1.23801126,0.7995169979565299,0.8333333332499999,0.5882352941
mushroom,-2.460283,-0.18188384,patient,patient,-2.27839916,0.6628412518115232,0.34722222225,0.7222222222
musician,-1.7597454,-0.921418,agent,patient,-0.8383274,0.7683468135486773,0.8472222222500001,1.075163399
