noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-0.7974342,-0.89402616,patient,agent,0.09659196000000003,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.87200296,-1.3561758,agent,agent,0.48417283999999994,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-0.5155104,-1.1658475,patient,agent,0.6503370999999999,0.5512745470387167,0.58333333325,1.176470588
album,-0.3986808,-1.3196212,patient,agent,0.9209404000000001,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-0.59190595,-1.4205757,patient,agent,0.8286697500000001,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.2343341,-2.1709547,agent,agent,0.9366205999999997,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.99593586,-1.4851975,agent,agent,0.48926163999999994,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-0.6965887,-1.1850873,agent,agent,0.4884986,0.8388102441595283,0.9305555555,0.2124183007
author,-0.7171667,-2.0349424,agent,agent,1.3177756999999999,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.4306188,-1.4805282,agent,agent,1.0499094,0.6835275033180946,0.9444444445,0.1830065359
backpack,-0.41093233,-1.2687356,patient,agent,0.85780327,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-0.47303396,-1.3226949,agent,agent,0.8496609399999999,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-0.44740698,-1.3971578,patient,agent,0.94975082,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.5604757,-1.0526078,agent,agent,0.4921321000000001,0.8327493152398071,0.875,0.7352941176
barber,-0.9314331,-0.79879594,agent,patient,-0.13263716000000003,0.7248762775364598,0.9305555555,0.2124183007
basket,-0.5112571,-1.047695,patient,agent,0.5364379,0.2088464198880839,0.19444444449999998,1.006535948
beard,-0.5888709,-0.92887104,patient,agent,0.34000014,0.3522682168119178,0.15277777775,0.4869281046
bedding,-0.5482829,-1.0425838,patient,agent,0.49430090000000004,0.3901065107242925,0.15277777775,0.839869281
bike,-0.27673697,-1.6497418,patient,agent,1.37300483,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-0.78724724,-0.67101157,patient,patient,-0.11623567000000001,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.3982557,-1.9025568,agent,agent,1.5043011,0.8292682926829268,0.861111111,0.614379085
board,-0.49963555,-1.2405452,patient,agent,0.7409096499999999,0.7414235775059675,0.18055555550000002,0.5653594771
book,-0.35932508,-1.4234787,patient,agent,1.06415362,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-0.544078,-1.0531914,patient,agent,0.5091134,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-0.54709935,-0.9921772,patient,agent,0.44507785,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-0.55052537,-0.99521226,patient,agent,0.44468688999999995,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-0.55749327,-1.770933,agent,agent,1.2134397300000002,0.8976559616094499,0.888888889,0.3790849673
building,-0.39238277,-1.3977995,patient,agent,1.00541673,0.5989896090029184,0.22222222225,0.9281045752
bus,-0.62614846,-1.1549133,patient,agent,0.52876484,0.3936552556306598,0.54166666675,1.205882353
busboy,-0.5092173,-1.3493052,agent,agent,0.8400879000000001,0.7171145685997171,0.8194444445,0.5653594771
businessman,-0.584693,-1.3080053,agent,agent,0.7233123,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-0.5261937,-1.2004223,agent,agent,0.6742286000000001,0.7570036540803897,0.9305555555,0.3300653595
butcher,-0.806429,-0.9717428,agent,agent,0.16531380000000007,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-0.7178383,-0.75970465,patient,agent,0.04186634999999994,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-0.5551489,-1.173683,agent,agent,0.6185341000000001,0.705324074074074,0.875,0.6176470588
camper,-0.6144686,-1.1723356,agent,agent,0.557867,0.7956975142651014,0.8194444445,1.153594771
canvas,-0.56308454,-0.9445561,patient,agent,0.38147156000000004,0.3871303934847232,0.125,0.3823529412
captain,-0.60466266,-1.277787,agent,agent,0.67312434,0.7774360758884372,0.9027777777499999,0.3692810458
car,-0.530022,-1.2260633,patient,agent,0.6960413000000001,0.3570064841756182,0.52777777775,1.163398693
cardboard,-0.68354577,-0.8212009,patient,agent,0.13765512999999996,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-0.49652946,-1.11456,patient,agent,0.61803054,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-0.81400657,-0.8943479,agent,agent,0.08034132999999999,0.8386251851851851,0.888888889,0.3790849673
caterer,-0.75979507,-1.0003214,agent,agent,0.24052633,0.5684324715241367,0.875,0.5
