noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-2.154296875,-1.154296875,patient,patient,-1.0,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-1.3251953125,-1.3251953125,agent,agent,0.0,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.3359375,-0.8359375,patient,patient,-0.5,0.5512745470387167,0.58333333325,1.176470588
album,-2.880859375,-0.380859375,patient,patient,-2.5,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-2.333984375,-0.58447265625,patient,patient,-1.74951171875,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.3876953125,-1.3876953125,agent,agent,0.0,0.9088548566583649,0.9444444445,0.1830065359
artisan,-1.2041015625,-0.70361328125,agent,patient,-0.50048828125,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.4580078125,-0.95751953125,agent,patient,-0.50048828125,0.8388102441595283,0.9305555555,0.2124183007
author,-0.95263671875,-1.4521484375,agent,agent,0.49951171875,0.9103466492053656,0.888888889,0.4967320261
aviator,-1.419921875,-0.669921875,agent,patient,-0.75,0.6835275033180946,0.9444444445,0.1830065359
backpack,-2.787109375,-0.28759765625,patient,patient,-2.49951171875,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-2.0859375,-0.3359375,agent,patient,-1.75,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.8427734375,-0.84228515625,patient,patient,-1.00048828125,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.1962890625,-0.6962890625,agent,patient,-0.5,0.8327493152398071,0.875,0.7352941176
barber,-1.73828125,-0.488037109375,agent,patient,-1.250244140625,0.7248762775364598,0.9305555555,0.2124183007
basket,-2.388671875,-0.388671875,patient,patient,-2.0,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.6484375,-0.398681640625,patient,patient,-1.249755859375,0.3522682168119178,0.15277777775,0.4869281046
bedding,-2.36328125,-0.61328125,patient,patient,-1.75,0.3901065107242925,0.15277777775,0.839869281
bike,-1.4755859375,-0.4755859375,patient,patient,-1.0,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-2.796875,-0.2978515625,patient,patient,-2.4990234375,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.92529296875,-0.92529296875,agent,agent,0.0,0.8292682926829268,0.861111111,0.614379085
board,-1.5048828125,-0.50439453125,patient,patient,-1.00048828125,0.7414235775059675,0.18055555550000002,0.5653594771
book,-1.607421875,-0.607421875,patient,patient,-1.0,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-2.068359375,-0.31787109375,patient,patient,-1.75048828125,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-2.228515625,-0.2291259765625,patient,patient,-1.9993896484375,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-1.76953125,-0.51953125,patient,patient,-1.25,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-1.16796875,-0.91748046875,agent,patient,-0.25048828125,0.8976559616094499,0.888888889,0.3790849673
building,-1.9599609375,-0.9599609375,patient,patient,-1.0,0.5989896090029184,0.22222222225,0.9281045752
bus,-2.380859375,-0.8798828125,patient,patient,-1.5009765625,0.3936552556306598,0.54166666675,1.205882353
busboy,-1.8740234375,-0.87353515625,agent,patient,-1.00048828125,0.7171145685997171,0.8194444445,0.5653594771
businessman,-0.69189453125,-1.4423828125,agent,agent,0.75048828125,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-1.3681640625,-1.3681640625,agent,agent,0.0,0.7570036540803897,0.9305555555,0.3300653595
butcher,-2.552734375,-0.55322265625,agent,patient,-1.99951171875,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-2.234375,-0.483642578125,patient,patient,-1.750732421875,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-0.83251953125,-1.08203125,agent,agent,0.24951171875,0.705324074074074,0.875,0.6176470588
camper,-1.7978515625,-0.79736328125,agent,patient,-1.00048828125,0.7956975142651014,0.8194444445,1.153594771
canvas,-1.798828125,-0.29931640625,patient,patient,-1.49951171875,0.3871303934847232,0.125,0.3823529412
captain,-1.0712890625,-0.82080078125,agent,patient,-0.25048828125,0.7774360758884372,0.9027777777499999,0.3692810458
car,-1.59765625,-0.59716796875,patient,patient,-1.00048828125,0.3570064841756182,0.52777777775,1.163398693
cardboard,-2.693359375,-0.19287109375,patient,patient,-2.50048828125,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-2.25390625,-0.254638671875,patient,patient,-1.999267578125,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-1.2685546875,-0.76904296875,agent,patient,-0.49951171875,0.8386251851851851,0.888888889,0.3790849673
caterer,-1.173828125,-0.92431640625,agent,patient,-0.24951171875,0.5684324715241367,0.875,0.5
cd,-1.6787109375,-0.428955078125,patient,patient,-1.249755859375,0.6047404328075499,0.25,0.8235294118
cellist,-1.8662109375,-0.61669921875,agent,patient,-1.24951171875,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-2.345703125,-0.345703125,patient,patient,-2.0,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-1.7919921875,-1.2919921875,agent,patient,-0.5,0.7000186396947015,0.8194444445,0.9183006536
chef,-1.1591796875,-1.6591796875,agent,agent,0.5,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-1.5087890625,-0.7587890625,patient,patient,-0.75,0.661941251596424,0.3194444445,0.9183006536
clarinet,-1.998046875,-0.2479248046875,patient,patient,-1.7501220703125,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-1.6611328125,-0.4111328125,agent,patient,-1.25,0.7790178571428571,0.875,0.9705882353
clay,-1.796875,-0.297119140625,patient,patient,-1.499755859375,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-1.7861328125,-0.78564453125,agent,patient,-1.00048828125,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-1.189453125,-0.68994140625,agent,patient,-0.49951171875,0.7568317979152734,0.8194444445,0.5653594771
cloth,-2.251953125,-0.50244140625,patient,patient,-1.74951171875,0.2985090774863912,0.15277777775,0.9575163399
coat,-1.35546875,-0.60546875,patient,patient,-0.75,0.2074233122822833,0.18055555550000002,0.6830065359
code,-1.7880859375,-1.2880859375,patient,patient,-0.5,0.4440540805082204,0.47222222225,1.751633987
comedian,-1.5341796875,-1.0341796875,agent,patient,-0.5,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-1.8359375,-0.335693359375,patient,patient,-1.500244140625,0.3575925594705777,0.33333333325000003,1.294117647
confectioner,-1.3544921875,-0.8544921875,agent,patient,-0.5,0.788134135855546,0.888888889,0.3790849673
container,-3.193359375,-0.9423828125,patient,patient,-2.2509765625,0.4130819652046067,0.3055555555,0.8888888889
convertible,-2.095703125,-0.345458984375,patient,patient,-1.750244140625,0.333927888903045,0.40277777775,1.075163399
cook,-1.69921875,-0.44970703125,agent,patient,-1.24951171875,0.771662128955022,0.8472222222500001,0.9575163399
cotton,-1.791015625,-0.29150390625,patient,patient,-1.49951171875,0.5096950117448502,0.11111111099999998,0.7320261438
countertop,-2.296875,-0.54638671875,patient,patient,-1.75048828125,0.4369747899159664,0.06944444449999998,0.3300653595
crate,-2.275390625,-0.276123046875,patient,patient,-1.999267578125,0.3601158910417259,0.13888888900000002,0.614379085
cushion,-2.50390625,-0.25341796875,patient,patient,-2.25048828125,0.2348091623636633,0.125,0.3823529412
cut,-2.2265625,-0.22607421875,patient,patient,-2.00048828125,0.37019957940763,0.25,0.8235294118
dancer,-1.849609375,-0.849609375,agent,patient,-1.0,0.7019863911947872,0.875,0.2647058824
dealer,-0.68701171875,-1.1865234375,agent,agent,0.49951171875,0.7802627606935202,0.8472222222500001,0.6045751634
dish,-2.283203125,-0.53271484375,patient,patient,-1.75048828125,0.3054778558808377,0.16666666675000003,0.7058823529
doctor,-1.5390625,-0.53955078125,agent,patient,-0.99951171875,0.727197186722784,0.9166666667500001,0.3529411765
dough,-2.005859375,-0.255859375,patient,patient,-1.75,0.2847394090753257,0.22222222225,1.045751634
dressmaker,-1.453125,-0.953125,agent,patient,-0.5,0.7181686791925032,0.888888889,0.614379085
