noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-1.3310546875,-0.8623046875,patient,patient,-0.46875,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.8681640625,-0.7744140625,agent,patient,-0.09375,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.2109375,-0.53955078125,patient,patient,-0.67138671875,0.5512745470387167,0.58333333325,1.176470588
album,-0.7158203125,-0.8564453125,patient,agent,0.140625,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-1.197265625,-0.525390625,patient,patient,-0.671875,0.6993929901941651,0.72222222225,1.281045752
announcer,-0.76220703125,-0.80908203125,agent,agent,0.046875,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.71044921875,-0.85107421875,agent,agent,0.140625,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-0.640625,-0.90625,agent,agent,0.265625,0.8388102441595283,0.9305555555,0.2124183007
author,-0.63525390625,-1.1044921875,agent,agent,0.46923828125,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.84130859375,-0.66943359375,agent,patient,-0.171875,0.6835275033180946,0.9444444445,0.1830065359
backpack,-0.7041015625,-0.8291015625,patient,agent,0.125,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-0.83056640625,-0.67431640625,agent,patient,-0.15625,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-0.81396484375,-0.72021484375,patient,patient,-0.09375,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.73486328125,-0.79736328125,agent,agent,0.0625,0.8327493152398071,0.875,0.7352941176
barber,-0.873046875,-0.654296875,agent,patient,-0.21875,0.7248762775364598,0.9305555555,0.2124183007
basket,-0.86767578125,-0.69580078125,patient,patient,-0.171875,0.2088464198880839,0.19444444449999998,1.006535948
beard,-0.705078125,-0.814453125,patient,agent,0.109375,0.3522682168119178,0.15277777775,0.4869281046
bedding,-1.1376953125,-0.52880859375,patient,patient,-0.60888671875,0.3901065107242925,0.15277777775,0.839869281
bike,-0.8798828125,-0.7080078125,patient,patient,-0.171875,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-0.79052734375,-0.74365234375,patient,patient,-0.046875,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.65380859375,-0.99755859375,agent,agent,0.34375,0.8292682926829268,0.861111111,0.614379085
board,-1.2021484375,-0.60791015625,patient,patient,-0.59423828125,0.7414235775059675,0.18055555550000002,0.5653594771
book,-0.818359375,-0.787109375,patient,patient,-0.03125,0.5020426434046468,0.29166666674999997,0.9705882353
