noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-1.354523539543152,-1.8225067853927608,patient,agent,0.4679832458496087,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.6800122261047363,-1.577996015548706,agent,agent,0.8979837894439697,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.1618154048919678,-0.8588244318962097,patient,patient,-0.30299097299575806,0.5512745470387167,0.58333333325,1.176470588
album,-1.1794393062591553,-0.7616079449653625,patient,patient,-0.4178313612937927,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-0.9773045778274536,-1.1934057474136353,patient,agent,0.21610116958618164,0.6993929901941651,0.72222222225,1.281045752
announcer,-0.7600356340408325,-1.5109742879867554,agent,agent,0.7509386539459229,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.9689114093780518,-1.317258358001709,agent,agent,0.3483469486236572,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.1456694602966309,-0.957147181034088,agent,patient,-0.18852227926254284,0.8388102441595283,0.9305555555,0.2124183007
author,-0.5571326613426208,-1.6417293548583984,agent,agent,1.0845966935157776,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.88975989818573,-1.080086588859558,agent,agent,0.19032669067382812,0.6835275033180946,0.9444444445,0.1830065359
backpack,-1.173509120941162,-0.8652327060699463,patient,patient,-0.3082764148712158,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-1.0217020511627195,-0.9921963214874268,agent,patient,-0.029505729675292747,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.375362515449524,-0.7293812036514282,patient,patient,-0.6459813117980957,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.9442409873008728,-1.0260672569274902,agent,agent,0.08182626962661743,0.8327493152398071,0.875,0.7352941176
barber,-0.9541180729866028,-1.0740225315093994,agent,agent,0.11990445852279663,0.7248762775364598,0.9305555555,0.2124183007
basket,-1.0217887163162231,-0.8600541353225708,patient,patient,-0.16173458099365234,0.2088464198880839,0.19444444449999998,1.006535948
beard,-0.8435839414596558,-1.1062887907028198,patient,agent,0.26270484924316406,0.3522682168119178,0.15277777775,0.4869281046
bedding,-1.141368746757507,-0.8312138319015503,patient,patient,-0.3101549148559568,0.3901065107242925,0.15277777775,0.839869281
bike,-1.109355926513672,-0.7989979386329651,patient,patient,-0.310357987880707,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-1.050722360610962,-1.0017831325531006,patient,patient,-0.04893922805786133,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.9514013528823853,-1.0297542810440063,agent,agent,0.0783529281616211,0.8292682926829268,0.861111111,0.614379085
board,-1.2627267837524414,-0.8646091818809509,patient,patient,-0.3981176018714905,0.7414235775059675,0.18055555550000002,0.5653594771
book,-0.7817526459693909,-1.106358528137207,patient,agent,0.32460588216781616,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-1.288438081741333,-0.941316306591034,patient,patient,-0.34712177515029896,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-0.9840506315231324,-0.9047735929489136,patient,patient,-0.07927703857421886,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-1.0194401741027832,-0.8413147330284119,patient,patient,-0.17812544107437134,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-0.7981032133102417,-1.258992075920105,agent,agent,0.4608888626098633,0.8976559616094499,0.888888889,0.3790849673
building,-0.9907910227775574,-1.03200364112854,patient,agent,0.041212618350982666,0.5989896090029184,0.22222222225,0.9281045752
bus,-0.9615150690078736,-0.9604612588882446,patient,patient,-0.0010538101196290173,0.3936552556306598,0.54166666675,1.205882353
busboy,-0.9106678366661072,-0.9766220450401306,agent,agent,0.06595420837402344,0.7171145685997171,0.8194444445,0.5653594771
businessman,-0.7776803374290466,-1.4053125381469729,agent,agent,0.6276322007179262,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-0.93449604511261,-1.1677719354629517,agent,agent,0.23327589035034169,0.7570036540803897,0.9305555555,0.3300653595
butcher,-0.998732566833496,-1.0054302215576172,agent,agent,0.006697654724121205,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-1.0825841426849363,-0.8294045329093933,patient,patient,-0.253179609775543,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-0.9955928921699524,-0.9772985577583312,agent,patient,-0.018294334411621205,0.705324074074074,0.875,0.6176470588
camper,-0.9344533681869508,-0.8994659185409546,agent,patient,-0.034987449645996205,0.7956975142651014,0.8194444445,1.153594771
canvas,-1.1068899631500244,-0.8479984402656555,patient,patient,-0.2588915228843689,0.3871303934847232,0.125,0.3823529412
captain,-0.9108338356018066,-1.339862823486328,agent,agent,0.42902898788452126,0.7774360758884372,0.9027777777499999,0.3692810458
car,-0.9226455092430116,-1.0522470474243164,patient,agent,0.12960153818130482,0.3570064841756182,0.52777777775,1.163398693
cardboard,-1.0836164951324463,-0.8152163624763489,patient,patient,-0.2684001326560974,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-0.9691292643547058,-1.0674855709075928,patient,agent,0.09835630655288696,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-0.8194292783737183,-1.0846976041793823,agent,agent,0.26526832580566406,0.8386251851851851,0.888888889,0.3790849673
caterer,-1.0529203414916992,-0.8958196043968201,agent,patient,-0.15710073709487915,0.5684324715241367,0.875,0.5
cd,-1.3819313049316406,-0.7880108952522278,patient,patient,-0.5939204096794128,0.6047404328075499,0.25,0.8235294118
cellist,-0.830498993396759,-1.075197458267212,agent,agent,0.24469846487045288,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-0.9288339018821716,-0.8991231322288513,patient,patient,-0.029710769653320312,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-0.8871151208877563,-1.2733341455459597,agent,agent,0.38621902465820335,0.7000186396947015,0.8194444445,0.9183006536
chef,-1.0505988597869873,-1.09671950340271,agent,agent,0.046120643615722656,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-1.3315194845199585,-0.9229332208633424,patient,patient,-0.4085862636566161,0.661941251596424,0.3194444445,0.9183006536
clarinet,-1.059192180633545,-0.7921385169029236,patient,patient,-0.26705366373062134,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-1.0934278964996338,-0.8048307299613953,agent,patient,-0.2885971665382385,0.7790178571428571,0.875,0.9705882353
clay,-0.976064682006836,-0.8261795043945312,patient,patient,-0.1498851776123048,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-0.933741331100464,-1.3770310878753662,agent,agent,0.44328975677490223,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-0.7479022741317749,-1.4751310348510742,agent,agent,0.7272287607192993,0.7568317979152734,0.8194444445,0.5653594771
cloth,-0.7230092287063599,-1.288431167602539,patient,agent,0.5654219388961792,0.2985090774863912,0.15277777775,0.9575163399
coat,-0.9364246129989624,-1.3939989805221558,patient,agent,0.45757436752319336,0.2074233122822833,0.18055555550000002,0.6830065359
code,-1.118591070175171,-0.838604748249054,patient,patient,-0.27998632192611694,0.4440540805082204,0.47222222225,1.751633987
comedian,-0.9786308407783508,-0.9463642239570618,agent,patient,-0.03226661682128906,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-1.1580660343170166,-0.7732698917388916,patient,patient,-0.384796142578125,0.3575925594705777,0.33333333325000003,1.294117647
confectioner,-1.0439878702163696,-0.9946886301040648,agent,patient,-0.0492992401123048,0.788134135855546,0.888888889,0.3790849673
container,-1.4003537893295288,-1.3855088949203491,patient,patient,-0.014844894409179688,0.4130819652046067,0.3055555555,0.8888888889
convertible,-1.1874018907546997,-1.2630740404129028,patient,agent,0.07567214965820312,0.333927888903045,0.40277777775,1.075163399
cook,-0.9832124710083008,-1.074270248413086,agent,agent,0.09105777740478516,0.771662128955022,0.8472222222500001,0.9575163399
cotton,-0.9198939800262452,-0.9842565059661864,patient,agent,0.06436252593994118,0.5096950117448502,0.11111111099999998,0.7320261438
countertop,-1.048180341720581,-1.084862470626831,patient,agent,0.03668212890625,0.4369747899159664,0.06944444449999998,0.3300653595
crate,-1.1397006511688232,-0.8354422450065613,patient,patient,-0.30425840616226196,0.3601158910417259,0.13888888900000002,0.614379085
cushion,-1.092738389968872,-0.887336015701294,patient,patient,-0.20540237426757812,0.2348091623636633,0.125,0.3823529412
cut,-1.1449594497680664,-1.04323148727417,patient,patient,-0.10172796249389648,0.37019957940763,0.25,0.8235294118
dancer,-1.042611837387085,-1.0877082347869873,agent,agent,0.045096397399902344,0.7019863911947872,0.875,0.2647058824
dealer,-0.6677951812744141,-1.6121611595153809,agent,agent,0.9443659782409668,0.7802627606935202,0.8472222222500001,0.6045751634
dish,-1.0530970096588137,-0.8949480652809143,patient,patient,-0.1581489443778994,0.3054778558808377,0.16666666675000003,0.7058823529
doctor,-1.0287575721740725,-1.3828186988830566,agent,agent,0.35406112670898415,0.727197186722784,0.9166666667500001,0.3529411765
dough,-0.9779710173606871,-0.8390092253684998,patient,patient,-0.1389617919921874,0.2847394090753257,0.22222222225,1.045751634
dressmaker,-0.8120215535163879,-1.2938005924224854,agent,agent,0.4817790389060974,0.7181686791925032,0.888888889,0.614379085
driver,-0.9131081104278564,-1.1691181659698486,agent,agent,0.2560100555419922,0.7163646518408429,0.875,0.2647058824
drug,-0.7829427719116211,-1.451827049255371,patient,agent,0.66888427734375,0.6016625445473285,0.41666666674999997,1.411764706
drummer,-1.0474677085876465,-0.8702768683433533,agent,patient,-0.1771908402442932,0.6652377441314151,0.888888889,0.3790849673
duffle,-0.9197883009910583,-0.9194507002830504,patient,patient,-0.0003376007080079235,0.5681492109038737,0.125,0.3823529412
essay,-0.7900489568710327,-1.2394016981124878,patient,agent,0.4493527412414551,0.4579251467157587,0.29166666674999997,0.9705882353
essayist,-0.7941117286682129,-1.2010531425476074,agent,agent,0.40694141387939453,0.83241330502477,0.9166666667500001,0.3529411765
fabric,-1.054872751235962,-0.8849108219146729,patient,patient,-0.16996192932128906,0.4367859577448622,0.08333333324999997,0.4705882353
fillet,-1.03020977973938,-0.7839635014533997,patient,patient,-0.24624627828598045,0.4050479800016128,0.06944444449999998,0.4477124183
fish,-0.8818675875663757,-1.0369608402252195,patient,agent,0.15509325265884377,0.466691092091373,0.5694444445,0.8006535948
floor,-1.4976043701171875,-0.8336678147315979,patient,patient,-0.6639365553855896,0.3981600225925663,0.09722222224999999,0.3692810458
flute,-1.1496660709381104,-0.7581627368927002,patient,patient,-0.39150333404541016,0.2487283060154625,0.29166666674999997,0.9705882353
flutist,-0.992013692855835,-0.9140393733978271,agent,patient,-0.07797431945800781,0.5428265524625268,0.9027777777499999,0.3692810458
food,-1.151445746421814,-0.8635843992233276,patient,patient,-0.28786134719848633,0.279496251612914,0.26388888899999996,0.8790849673
gem,-1.0278151035308838,-0.8398688435554504,patient,patient,-0.18794625997543335,0.5298536940509476,0.11111111099999998,0.3790849673
glass,-1.0449092388153076,-1.006331205368042,patient,patient,-0.038578033447265625,0.2116331277533039,0.27777777775,0.9281045752
hairdresser,-0.8563613295555115,-1.1040782928466797,agent,agent,0.2477169632911682,0.7012600969305331,0.8472222222500001,1.075163399
handle,-1.232233643531799,-1.6741958856582642,patient,agent,0.44196224212646507,0.1769893706564569,0.125,0.3823529412
hat,-0.8159268498420715,-1.131964921951294,patient,agent,0.3160380721092224,0.1611221420146439,0.13888888900000002,0.614379085
herb,-0.8983964920043945,-1.0448064804077148,patient,agent,0.1464099884033203,0.4867927073263943,0.29166666674999997,1.088235294
hiker,-0.8931196928024292,-1.055764079093933,agent,agent,0.1626443862915039,0.7838630806845965,0.9027777777499999,0.3692810458
housekeeper,-1.014385223388672,-1.1695880889892578,agent,agent,0.15520286560058572,0.650714095426448,0.8472222222500001,0.4869281046
ice,-1.0202200412750244,-0.8590376377105713,patient,patient,-0.16118240356445312,0.6086624118660292,0.25,1.176470588
illustrator,-1.112051248550415,-0.9337432384490968,agent,patient,-0.17830801010131825,0.62625,0.9444444445,0.1830065359
ingredient,-1.5973849296569824,-1.3855280876159668,patient,patient,-0.21185684204101562,0.7034270613461989,0.29166666674999997,0.9705882353
instrument,-1.162323236465454,-1.2570278644561768,patient,agent,0.09470462799072266,0.5326638456423025,0.3055555555,0.6535947712
item,-1.2559237480163574,-1.0349154472351074,patient,patient,-0.22100830078125,0.5915449746229394,0.19444444449999998,0.7712418301
jacket,-0.8335901498794556,-1.2198740243911743,patient,agent,0.38628387451171875,0.135252417636453,0.16666666675000003,0.4705882353
janitor,-0.8941905498504639,-1.0972983837127686,agent,agent,0.2031078338623047,0.7745593454851711,0.888888889,0.4967320261
jet,-0.6986766457557678,-1.173032283782959,patient,agent,0.47435563802719116,0.5624798191798515,0.58333333325,0.8235294118
jeweler,-0.910451352596283,-1.0856986045837402,agent,agent,0.17524725198745728,0.7374281609195402,0.875,0.5
jewelry,-1.0868487358093262,-1.028531551361084,patient,patient,-0.05831718444824219,0.2255342095517772,0.09722222224999999,0.3692810458
journalist,-0.6557265520095825,-1.4878169298171997,agent,agent,0.8320903778076172,0.8138479170633187,0.9027777777499999,0.3692810458
kite,-0.9433733820915222,-0.8758818507194519,patient,patient,-0.06749153137207031,0.4014406144197778,0.38888888899999996,0.8496732026
knob,-0.8899691700935364,-0.9980915188789368,patient,agent,0.10812234878540039,0.2054009004520378,0.15277777775,0.7222222222
lady,-0.7286617159843445,-1.3726837635040283,agent,agent,0.6440220475196838,0.7152875856411037,0.72222222225,0.5751633987
lake,-0.7857226729393005,-1.052840232849121,patient,agent,0.26711755990982056,0.613765862101466,0.19444444449999998,0.8888888889
landscape,-0.8747866749763489,-1.1584022045135498,patient,agent,0.2836155295372009,0.5124950705027649,0.125,0.9705882353
letter,-0.8994401693344116,-1.3243058919906616,patient,agent,0.42486572265625,0.2604193705903665,0.27777777775,1.281045752
line,-0.8906605839729309,-1.094700813293457,patient,agent,0.20404022932052612,0.4926438812469622,0.20833333324999997,0.9705882353
lotion,-0.9761803150177002,-0.8086025714874268,patient,patient,-0.16757774353027344,0.3798640193967344,0.13888888900000002,0.8496732026
lunchbox,-1.1644270420074463,-0.7992160320281982,patient,patient,-0.36521100997924805,0.2488408037094281,0.13888888900000002,0.3790849673
machine,-0.8481451272964478,-1.1851407289505005,agent,agent,0.33699560165405273,0.5131729950809574,0.625,0.9705882353
magazine,-0.8193470239639282,-1.098742127418518,patient,agent,0.27939510345458984,0.6617302627865612,0.20833333324999997,0.7352941176
maid,-0.9104757905006408,-1.2764225006103516,agent,agent,0.3659467101097108,0.6277443715239496,0.888888889,0.3790849673
make,-0.9148182272911072,-1.9872021675109863,patient,agent,1.0723839402198792,0.527764830397101,0.15277777775,0.839869281
man,-0.7043848633766174,-1.420183181762695,agent,agent,0.7157983183860777,0.7554710730485904,0.736111111,0.6437908497
marble,-0.9202824831008912,-0.9346238374710084,patient,agent,0.014341354370117188,0.5925970766927886,0.11111111099999998,0.7320261438
mason,-0.8132525682449341,-1.0601950883865356,agent,agent,0.24694252014160156,0.8182577761451758,0.763888889,1.820261438
material,-0.9493303298950196,-1.1585617065429688,patient,agent,0.2092313766479491,0.4244436794726096,0.18055555550000002,0.6830065359
meat,-1.1358238458633425,-0.8303090333938599,patient,patient,-0.30551481246948264,0.2937742399320657,0.15277777775,0.6045751634
mirror,-1.033888816833496,-0.938216269016266,patient,patient,-0.09567254781723011,0.4172552118154743,0.22222222225,0.5751633987
model,-0.940782368183136,-0.929943859577179,patient,patient,-0.010838508605957031,0.5225791591861056,0.8055555555,0.5359477124
motorcycle,-1.071982979774475,-0.8252121210098267,patient,patient,-0.24677085876464844,0.1839998305515547,0.513888889,1.114379085
motorist,-1.0676718950271606,-0.9635077714920044,agent,patient,-0.10416412353515625,0.7813624299616633,0.875,0.7352941176
mountain,-0.9447848200798036,-0.9134642481803894,patient,patient,-0.031320571899414174,0.5334323833930582,0.16666666675000003,0.5882352941
mover,-0.8501588106155396,-1.065644383430481,agent,agent,0.2154855728149414,0.7995169979565299,0.8333333332499999,0.5882352941
mushroom,-0.8808826208114624,-0.97455632686615,patient,agent,0.09367370605468761,0.6628412518115232,0.34722222225,0.7222222222
musician,-1.090162754058838,-0.9143896102905272,agent,patient,-0.17577314376831066,0.7683468135486773,0.8472222222500001,1.075163399
narrator,-0.9887413382530212,-1.662036418914795,agent,agent,0.6732950806617737,0.9301596095106904,0.875,0.3823529412
notetaker,-0.9751607775688172,-0.9399859309196472,agent,patient,-0.03517484664917003,0.6521739130434783,0.888888889,0.3790849673
novel,-0.6295116543769836,-1.3517062664031982,patient,agent,0.7221946120262146,0.5552851720679894,0.33333333325000003,1.294117647
novelist,-0.50133216381073,-1.6585849523544312,agent,agent,1.1572527885437012,0.8581502958270066,0.9305555555,0.3300653595
orator,-0.6352993249893188,-1.45992910861969,agent,agent,0.8246297836303711,0.7630716592682172,0.9027777777499999,0.3692810458
packaging,-1.392105221748352,-0.9785748720169068,patient,patient,-0.4135303497314452,0.7009678901262534,0.23611111099999998,1.114379085
painter,-1.0907431840896606,-0.923875093460083,agent,patient,-0.16686809062957764,0.7821009251135986,0.888888889,0.4967320261
panel,-1.4884588718414309,-0.9592077732086182,patient,patient,-0.5292510986328127,0.6211102862989788,0.08333333324999997,0.3529411765
paper,-0.905409574508667,-1.0362966060638428,patient,agent,0.13088703155517578,0.4392133193897121,0.19444444449999998,0.6535947712
passage,-0.9955864548683168,-1.6396770477294922,patient,agent,0.6440905928611754,0.4899807559701843,0.26388888899999996,0.8790849673
pastry,-1.0476360321044922,-0.8471117615699768,patient,patient,-0.20052427053451538,0.2701681953599662,0.18055555550000002,0.8006535948
patissier,-0.754008948802948,-1.128563642501831,agent,agent,0.37455469369888306,1.0,0.8333333332499999,1.058823529
pattern,-0.9583975076675416,-1.0091525316238403,patient,agent,0.05075502395629872,0.4493490801876835,0.11111111099999998,0.3790849673
peddler,-0.7776735424995422,-1.556027889251709,agent,agent,0.7783543467521667,0.8159688760395474,0.7916666667500001,1.441176471
pepper,-1.0080068111419678,-0.8078916668891907,patient,patient,-0.2001151442527771,0.3222268887955574,0.25,1.411764706
person,-0.6786879301071167,-1.8488410711288448,agent,agent,1.170153141021728,0.7692866697575119,0.72222222225,0.5751633987
photographer,-0.943966031074524,-1.0751100778579712,agent,agent,0.13114404678344715,0.8198028779152744,0.9305555555,0.2124183007
pianist,-1.0458238124847412,-0.8234288692474365,agent,patient,-0.2223949432373047,0.736492945359997,0.9166666667500001,0.2352941176
piano,-1.080430030822754,-0.780514657497406,patient,patient,-0.2999153733253479,0.2521461282627244,0.27777777775,0.9281045752
pie,-1.051578402519226,-0.8129881620407104,patient,patient,-0.23859024047851562,0.2844567311909498,0.125,0.6176470588
pilot,-1.1978561878204346,-1.0773355960845947,agent,patient,-0.12052059173583984,0.7922529936722077,0.9166666667500001,0.2352941176
pizza,-1.046961545944214,-0.8287513852119446,patient,patient,-0.2182101607322695,0.1931616041070905,0.20833333324999997,0.7352941176
plane,-1.124220848083496,-0.8329401016235352,patient,patient,-0.29128074645996094,0.5646949588633563,0.52777777775,0.9281045752
poem,-0.8984664082527161,-1.1021292209625244,patient,agent,0.20366281270980835,0.5112425583228677,0.375,0.9705882353
poet,-0.8005566596984863,-1.171135663986206,agent,agent,0.3705790042877197,0.8393257931005206,0.9027777777499999,0.3692810458
portraitist,-0.9328766465187072,-1.1785354614257812,agent,agent,0.24565881490707409,0.5025906735751295,0.9166666667500001,0.5882352941
pot,-1.1480830907821655,-0.7448095083236694,patient,patient,-0.4032735824584961,0.2465232506696751,0.20833333324999997,0.6176470588
potato,-0.9719836115837096,-0.8142916560173035,patient,patient,-0.15769195556640614,0.4906457200884057,0.16666666675000003,0.4705882353
