noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-0.9963563680648804,-1.2072328329086304,patient,agent,0.21087646484375,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.7818253040313721,-2.16797947883606,agent,agent,1.386154174804688,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.1286296844482422,-1.542524337768555,patient,agent,0.4138946533203127,0.5512745470387167,0.58333333325,1.176470588
album,-1.212371587753296,-0.9121758341789246,patient,patient,-0.30019575357437134,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-1.6307092905044556,-1.2845979928970337,patient,patient,-0.3461112976074219,0.6993929901941651,0.72222222225,1.281045752
announcer,-0.8682436943054199,-2.6316065788269043,agent,agent,1.7633628845214844,0.9088548566583649,0.9444444445,0.1830065359
artisan,-1.0082565546035769,-1.8179250955581665,agent,agent,0.8096685409545896,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-1.793595314025879,-2.5486154556274414,agent,agent,0.7550201416015625,0.8388102441595283,0.9305555555,0.2124183007
author,-1.006195068359375,-1.7602005004882812,agent,agent,0.7540054321289062,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.7187239527702332,-1.7084472179412842,agent,agent,0.989723265171051,0.6835275033180946,0.9444444445,0.1830065359
backpack,-1.242536187171936,-1.212152123451233,patient,patient,-0.030384063720703125,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-1.0371452569961548,-1.5661216974258425,agent,agent,0.5289764404296877,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.315331220626831,-0.9681938290596008,patient,patient,-0.3471373915672302,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.127221703529358,-1.3288646936416626,agent,agent,0.2016429901123047,0.8327493152398071,0.875,0.7352941176
barber,-1.1283197402954102,-1.4188909530639648,agent,agent,0.2905712127685547,0.7248762775364598,0.9305555555,0.2124183007
basket,-1.208513259887695,-1.012746810913086,patient,patient,-0.19576644897460915,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.241871953010559,-0.8040057420730591,patient,patient,-0.4378662109375,0.3522682168119178,0.15277777775,0.4869281046
bedding,-1.042307734489441,-1.641024470329285,patient,agent,0.598716735839844,0.3901065107242925,0.15277777775,0.839869281
bike,-1.2770874500274658,-0.9169323444366456,patient,patient,-0.3601551055908202,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-0.9527198672294616,-1.3862946033477783,patient,agent,0.43357473611831676,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.8169073462486267,-2.750270366668701,agent,agent,1.9333630204200745,0.8292682926829268,0.861111111,0.614379085
board,-1.2252318859100342,-1.126042127609253,patient,patient,-0.09918975830078125,0.7414235775059675,0.18055555550000002,0.5653594771
book,-0.9800143241882324,-1.245776653289795,patient,agent,0.2657623291015625,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-1.27746319770813,-1.1689274311065674,patient,patient,-0.10853576660156272,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-1.0713119506835938,-1.2362022399902344,patient,agent,0.16489028930664062,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-1.074926495552063,-1.0307523012161257,patient,patient,-0.04417419433593728,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-0.7989087104797363,-2.1675801277160645,agent,agent,1.3686714172363281,0.8976559616094499,0.888888889,0.3790849673
building,-1.7726831436157229,-1.195866584777832,patient,patient,-0.5768165588378908,0.5989896090029184,0.22222222225,0.9281045752
bus,-1.075574517250061,-1.1696354150772097,patient,agent,0.09406089782714866,0.3936552556306598,0.54166666675,1.205882353
