noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-1.6606793,-0.4464173,patient,patient,-1.214262,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-1.5987929,-0.55397594,agent,patient,-1.0448169600000001,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-1.4797571,-0.5239389,patient,patient,-0.9558182000000001,0.5512745470387167,0.58333333325,1.176470588
album,-1.8412654,-0.38335112,patient,patient,-1.45791428,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-1.6482407,-0.7273069,patient,patient,-0.9209337999999999,0.6993929901941651,0.72222222225,1.281045752
announcer,-1.1513224,-0.7330874,agent,patient,-0.418235,0.9088548566583649,0.9444444445,0.1830065359
artisan,-1.5463477,-0.8003417,agent,patient,-0.7460060000000001,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-2.0075948,-0.6852253,agent,patient,-1.3223695000000002,0.8388102441595283,0.9305555555,0.2124183007
author,-1.3298185,-0.8573672,agent,patient,-0.4724513,0.9103466492053656,0.888888889,0.4967320261
aviator,-1.2914182,-0.71519184,agent,patient,-0.57622636,0.6835275033180946,0.9444444445,0.1830065359
backpack,-1.6561983,-0.4050063,patient,patient,-1.251192,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-1.6103716,-0.42009938,agent,patient,-1.1902722199999998,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-2.1218724,-0.35774285,patient,patient,-1.76412955,0.14003512108607,0.23611111099999998,0.7614379085
baker,-1.8062204,-0.39916834,agent,patient,-1.4070520599999998,0.8327493152398071,0.875,0.7352941176
barber,-1.8669069,-0.6180657,agent,patient,-1.2488412,0.7248762775364598,0.9305555555,0.2124183007
basket,-2.69403,-0.1818516,patient,patient,-2.5121784000000003,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.7281139,-0.37717322,patient,patient,-1.3509406800000001,0.3522682168119178,0.15277777775,0.4869281046
bedding,-1.9619839,-0.48168895,patient,patient,-1.4802949499999998,0.3901065107242925,0.15277777775,0.839869281
