noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-7.3974795,-0.20316277,patient,patient,-7.194316730000001,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-5.7257166,-1.0090519,agent,patient,-4.7166647,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-5.6593833,-0.08211646,patient,patient,-5.57726684,0.5512745470387167,0.58333333325,1.176470588
album,-8.140104,-0.33749503,patient,patient,-7.802608969999999,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-7.41941,-0.8612519,patient,patient,-6.5581581,0.6993929901941651,0.72222222225,1.281045752
announcer,-8.005805,-2.7330015,agent,patient,-5.2728035,0.9088548566583649,0.9444444445,0.1830065359
artisan,-8.617828,-5.0479465,agent,patient,-3.5698814999999993,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-6.6114287,-1.0352912,agent,patient,-5.5761375,0.8388102441595283,0.9305555555,0.2124183007
author,-8.1901865,-4.465128,agent,patient,-3.7250584999999994,0.9103466492053656,0.888888889,0.4967320261
aviator,-5.2424903,-0.046979375,agent,patient,-5.195510925,0.6835275033180946,0.9444444445,0.1830065359
backpack,-5.6985016,-1.4288285,patient,patient,-4.2696731,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-6.8985667,-2.805199,agent,patient,-4.0933677,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-9.574201,-2.4609137,patient,patient,-7.1132873000000005,0.14003512108607,0.23611111099999998,0.7614379085
baker,-8.131633,-0.546502,agent,patient,-7.5851310000000005,0.8327493152398071,0.875,0.7352941176
barber,-9.692832,-0.23542346,agent,patient,-9.45740854,0.7248762775364598,0.9305555555,0.2124183007
basket,-6.956445,-0.15002774,patient,patient,-6.806417260000001,0.2088464198880839,0.19444444449999998,1.006535948
beard,-7.3036456,-0.39756647,patient,patient,-6.90607913,0.3522682168119178,0.15277777775,0.4869281046
bedding,-7.8324375,-1.0246578,patient,patient,-6.8077797,0.3901065107242925,0.15277777775,0.839869281
bike,-7.4685574,-0.010275847,patient,patient,-7.458281553,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-8.812701,-0.8055907,patient,patient,-8.0071103,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-9.381334,-0.6869886,agent,patient,-8.694345400000001,0.8292682926829268,0.861111111,0.614379085
board,-8.820424,-2.5063493,patient,patient,-6.314074699999999,0.7414235775059675,0.18055555550000002,0.5653594771
book,-7.592756,-0.46023512,patient,patient,-7.1325208799999995,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-5.946099,-0.5654219,patient,patient,-5.3806771,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-6.396615,-0.40600896,patient,patient,-5.990606039999999,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-6.267132,-0.8130148,patient,patient,-5.4541172,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-7.908304,-0.58686626,agent,patient,-7.32143774,0.8976559616094499,0.888888889,0.3790849673
building,-6.9602995,-0.21379326,patient,patient,-6.7465062399999995,0.5989896090029184,0.22222222225,0.9281045752
bus,-7.216184,-0.366437,patient,patient,-6.849747,0.3936552556306598,0.54166666675,1.205882353
busboy,-7.4460063,-2.0275316,agent,patient,-5.418474699999999,0.7171145685997171,0.8194444445,0.5653594771
businessman,-8.177558,-1.486665,agent,patient,-6.690892999999999,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-10.41784,-4.5507793,agent,patient,-5.8670607,0.7570036540803897,0.9305555555,0.3300653595
butcher,-8.862496,-1.2095745,agent,patient,-7.6529215,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-8.618546,-0.7180019,patient,patient,-7.9005441,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-6.897468,-1.5879477,agent,patient,-5.3095203,0.705324074074074,0.875,0.6176470588
camper,-6.894415,-0.19819148,agent,patient,-6.69622352,0.7956975142651014,0.8194444445,1.153594771
canvas,-7.589192,-0.14589484,patient,patient,-7.443297159999999,0.3871303934847232,0.125,0.3823529412
captain,-8.146644,-4.2234473,agent,patient,-3.9231967,0.7774360758884372,0.9027777777499999,0.3692810458
car,-7.0866084,-0.3774652,patient,patient,-6.709143200000001,0.3570064841756182,0.52777777775,1.163398693
cardboard,-8.415339,-0.1372803,patient,patient,-8.278058699999999,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-8.522737,-2.5156968,patient,patient,-6.007040199999999,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-7.4532027,-0.05589285,agent,patient,-7.39730985,0.8386251851851851,0.888888889,0.3790849673
caterer,-7.93655,-4.3806987,agent,patient,-3.5558513000000005,0.5684324715241367,0.875,0.5
cd,-11.015499,-1.2374443,patient,patient,-9.7780547,0.6047404328075499,0.25,0.8235294118
cellist,-7.9658203,-0.50304884,agent,patient,-7.46277146,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-8.136085,-0.17488818,patient,patient,-7.96119682,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-6.0162916,-1.9243473,agent,patient,-4.0919443,0.7000186396947015,0.8194444445,0.9183006536
chef,-10.775112,-5.033034,agent,patient,-5.742078,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-7.4862976,-1.9961147,patient,patient,-5.490182900000001,0.661941251596424,0.3194444445,0.9183006536
clarinet,-8.011877,-0.62392306,patient,patient,-7.38795394,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-7.8903418,-1.8140426,agent,patient,-6.076299199999999,0.7790178571428571,0.875,0.9705882353
clay,-6.0905967,-0.41144443,patient,patient,-5.6791522699999994,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-7.2477665,-3.2561593,agent,patient,-3.9916072,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-8.596462,-2.8509724,agent,patient,-5.745489600000001,0.7568317979152734,0.8194444445,0.5653594771
cloth,-8.535383,-2.6120164,patient,patient,-5.9233666,0.2985090774863912,0.15277777775,0.9575163399
coat,-7.7341027,-0.74571717,patient,patient,-6.98838553,0.2074233122822833,0.18055555550000002,0.6830065359
code,-10.449198,-0.79299563,patient,patient,-9.65620237,0.4440540805082204,0.47222222225,1.751633987
comedian,-8.757907,-4.4543104,agent,patient,-4.3035966,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-7.3418393,-0.61689323,patient,patient,-6.7249460700000006,0.3575925594705777,0.33333333325000003,1.294117647
confectioner,-8.588673,-1.8882794,agent,patient,-6.7003936,0.788134135855546,0.888888889,0.3790849673
container,-6.760336,-1.5967567,patient,patient,-5.163579299999999,0.4130819652046067,0.3055555555,0.8888888889
convertible,-7.190818,-0.31347787,patient,patient,-6.87734013,0.333927888903045,0.40277777775,1.075163399
cook,-7.7498856,-0.61354065,agent,patient,-7.13634495,0.771662128955022,0.8472222222500001,0.9575163399
cotton,-6.7900033,-0.13546726,patient,patient,-6.65453604,0.5096950117448502,0.11111111099999998,0.7320261438
countertop,-7.872117,-0.123325765,patient,patient,-7.7487912350000006,0.4369747899159664,0.06944444449999998,0.3300653595
crate,-10.218201,-0.18614532,patient,patient,-10.032055680000001,0.3601158910417259,0.13888888900000002,0.614379085
cushion,-6.813461,-0.19628331,patient,patient,-6.61717769,0.2348091623636633,0.125,0.3823529412
cut,-8.292588,-0.34592298,patient,patient,-7.94666502,0.37019957940763,0.25,0.8235294118
dancer,-8.081199,-0.40623888,agent,patient,-7.67496012,0.7019863911947872,0.875,0.2647058824
dealer,-9.191087,-2.421174,agent,patient,-6.769912999999999,0.7802627606935202,0.8472222222500001,0.6045751634
dish,-6.4778943,-0.17732818,patient,patient,-6.30056612,0.3054778558808377,0.16666666675000003,0.7058823529
doctor,-10.954699,-0.43229902,agent,patient,-10.52239998,0.727197186722784,0.9166666667500001,0.3529411765
dough,-8.691267,-2.526964,patient,patient,-6.164303,0.2847394090753257,0.22222222225,1.045751634
dressmaker,-8.943087,-0.95285046,agent,patient,-7.990236540000001,0.7181686791925032,0.888888889,0.614379085
driver,-6.5955434,-0.21444605,agent,patient,-6.38109735,0.7163646518408429,0.875,0.2647058824
drug,-8.019781,-0.11692959,patient,patient,-7.90285141,0.6016625445473285,0.41666666674999997,1.411764706
drummer,-9.161076,-1.7664675,agent,patient,-7.3946084999999995,0.6652377441314151,0.888888889,0.3790849673
duffle,-8.883471,-1.5722114,patient,patient,-7.3112596,0.5681492109038737,0.125,0.3823529412
essay,-7.447232,-0.75702447,patient,patient,-6.6902075299999995,0.4579251467157587,0.29166666674999997,0.9705882353
essayist,-7.2182527,-1.5693697,agent,patient,-5.648883,0.83241330502477,0.9166666667500001,0.3529411765
fabric,-11.576226,-4.9959793,patient,patient,-6.5802467,0.4367859577448622,0.08333333324999997,0.4705882353
fillet,-7.9200797,-0.701698,patient,patient,-7.218381699999999,0.4050479800016128,0.06944444449999998,0.4477124183
fish,-6.7916317,-0.036452763,patient,patient,-6.755178937,0.466691092091373,0.5694444445,0.8006535948
floor,-8.347477,-3.4738028,patient,patient,-4.8736742,0.3981600225925663,0.09722222224999999,0.3692810458
flute,-9.818116,-0.111216515,patient,patient,-9.706899485,0.2487283060154625,0.29166666674999997,0.9705882353
flutist,-8.637489,-0.51098126,agent,patient,-8.126507740000001,0.5428265524625268,0.9027777777499999,0.3692810458
food,-7.946783,-0.2009478,patient,patient,-7.7458352,0.279496251612914,0.26388888899999996,0.8790849673
gem,-8.742467,-0.2064783,patient,patient,-8.535988699999999,0.5298536940509476,0.11111111099999998,0.3790849673
glass,-7.662922,-0.07028427,patient,patient,-7.59263773,0.2116331277533039,0.27777777775,0.9281045752
hairdresser,-8.900619,-0.20108111,agent,patient,-8.69953789,0.7012600969305331,0.8472222222500001,1.075163399
handle,-7.209029,-1.3022325,patient,patient,-5.9067965000000004,0.1769893706564569,0.125,0.3823529412
hat,-7.9268904,-0.04681971,patient,patient,-7.880070689999999,0.1611221420146439,0.13888888900000002,0.614379085
herb,-8.121875,-0.12676239,patient,patient,-7.99511261,0.4867927073263943,0.29166666674999997,1.088235294
hiker,-6.098636,-1.3989109,agent,patient,-4.6997251,0.7838630806845965,0.9027777777499999,0.3692810458
housekeeper,-5.6872354,-1.5409832,agent,patient,-4.146252199999999,0.650714095426448,0.8472222222500001,0.4869281046
ice,-7.833519,-0.007419246,patient,patient,-7.8260997539999995,0.6086624118660292,0.25,1.176470588
illustrator,-8.2876625,-2.5431707,agent,patient,-5.7444918,0.62625,0.9444444445,0.1830065359
ingredient,-7.2320814,-5.3511405,patient,patient,-1.8809409000000006,0.7034270613461989,0.29166666674999997,0.9705882353
instrument,-9.059722,-0.9833947,patient,patient,-8.0763273,0.5326638456423025,0.3055555555,0.6535947712
item,-7.4071794,-1.553307,patient,patient,-5.8538724,0.5915449746229394,0.19444444449999998,0.7712418301
jacket,-6.149404,-0.1619166,patient,patient,-5.9874874,0.135252417636453,0.16666666675000003,0.4705882353
janitor,-6.541422,-2.6893597,agent,patient,-3.8520623,0.7745593454851711,0.888888889,0.4967320261
jet,-7.437338,-0.014449811,patient,patient,-7.422888188999999,0.5624798191798515,0.58333333325,0.8235294118
jeweler,-6.9943748,-0.9729107,agent,patient,-6.0214641,0.7374281609195402,0.875,0.5
jewelry,-7.1173553,-0.17553625,patient,patient,-6.941819049999999,0.2255342095517772,0.09722222224999999,0.3692810458
journalist,-7.5521846,-1.882723,agent,patient,-5.6694616,0.8138479170633187,0.9027777777499999,0.3692810458
kite,-8.616327,-0.006437155,patient,patient,-8.609889845,0.4014406144197778,0.38888888899999996,0.8496732026
knob,-7.750653,-0.18610434,patient,patient,-7.56454866,0.2054009004520378,0.15277777775,0.7222222222
lady,-9.976695,-0.09506466,agent,patient,-9.88163034,0.7152875856411037,0.72222222225,0.5751633987
lake,-5.4414067,-1.6985344,patient,patient,-3.7428723,0.613765862101466,0.19444444449999998,0.8888888889
