noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-2.1132371,-0.36831686,patient,patient,-1.7449202400000001,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-4.0431437,-1.2106329,agent,patient,-2.8325107999999997,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-3.8716369,-0.03008425,patient,patient,-3.84155265,0.5512745470387167,0.58333333325,1.176470588
album,-2.8247895,-0.12258966,patient,patient,-2.70219984,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-3.4935699,-0.18197651,patient,patient,-3.3115933899999996,0.6993929901941651,0.72222222225,1.281045752
announcer,-4.9415255,-3.6446831,agent,patient,-1.2968424,0.9088548566583649,0.9444444445,0.1830065359
artisan,-3.9169464,-1.5616645,agent,patient,-2.3552819,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-3.6851578,-0.18888652,agent,patient,-3.4962712799999998,0.8388102441595283,0.9305555555,0.2124183007
author,-2.2442229,-2.7438855,agent,agent,0.4996626000000002,0.9103466492053656,0.888888889,0.4967320261
aviator,-3.918674,-0.08795487,agent,patient,-3.8307191300000003,0.6835275033180946,0.9444444445,0.1830065359
backpack,-3.1219149,-0.15567467,patient,patient,-2.9662402300000004,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-4.8654876,-1.5135754,agent,patient,-3.3519122,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-1.9011464,-0.38391316,patient,patient,-1.51723324,0.14003512108607,0.23611111099999998,0.7614379085
baker,-3.208434,-0.108179,agent,patient,-3.100255,0.8327493152398071,0.875,0.7352941176
barber,-4.724799,-0.10955748,agent,patient,-4.61524152,0.7248762775364598,0.9305555555,0.2124183007
basket,-3.7385135,-0.044955917,patient,patient,-3.693557583,0.2088464198880839,0.19444444449999998,1.006535948
beard,-3.6001894,-0.056057055,patient,patient,-3.544132345,0.3522682168119178,0.15277777775,0.4869281046
bedding,-2.4496012,-0.1931122,patient,patient,-2.256489,0.3901065107242925,0.15277777775,0.839869281
bike,-2.7914045,-0.09922786,patient,patient,-2.69217664,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-3.995633,-0.028546931,patient,patient,-3.967086069,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-2.374737,-0.72309035,agent,patient,-1.65164665,0.8292682926829268,0.861111111,0.614379085
board,-3.0399992,-0.12422409,patient,patient,-2.9157751100000002,0.7414235775059675,0.18055555550000002,0.5653594771
book,-2.802714,-0.12336589,patient,patient,-2.67934811,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-2.5845735,-0.4944923,patient,patient,-2.0900811999999998,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-2.6405623,-0.13498,patient,patient,-2.5055823,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-2.930807,-0.3752768,patient,patient,-2.5555302,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-2.3983233,-2.0425344,agent,patient,-0.35578889999999985,0.8976559616094499,0.888888889,0.3790849673
building,-3.1580925,-0.104389094,patient,patient,-3.053703406,0.5989896090029184,0.22222222225,0.9281045752
bus,-3.5418434,-0.16428766,patient,patient,-3.37755574,0.3936552556306598,0.54166666675,1.205882353
busboy,-3.47622,-2.0511205,agent,patient,-1.4250995,0.7171145685997171,0.8194444445,0.5653594771
businessman,-3.524491,-1.1230932,agent,patient,-2.4013978,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-4.037687,-0.12431088,agent,patient,-3.91337612,0.7570036540803897,0.9305555555,0.3300653595
butcher,-4.262036,-0.32387233,agent,patient,-3.9381636700000002,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-3.8489475,-0.042102374,patient,patient,-3.806845126,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-3.408379,-0.1813615,agent,patient,-3.2270175,0.705324074074074,0.875,0.6176470588
camper,-3.6625388,-0.14285415,agent,patient,-3.5196846500000003,0.7956975142651014,0.8194444445,1.153594771
canvas,-1.8938124,-0.2482397,patient,patient,-1.6455727,0.3871303934847232,0.125,0.3823529412
captain,-5.5361376,-1.0081046,agent,patient,-4.528033,0.7774360758884372,0.9027777777499999,0.3692810458
car,-3.7854447,-0.06823963,patient,patient,-3.7172050700000003,0.3570064841756182,0.52777777775,1.163398693
cardboard,-2.0809708,-0.2292391,patient,patient,-1.8517316999999998,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-2.4467053,-0.34280026,patient,patient,-2.10390504,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-3.8722534,-0.19498636,agent,patient,-3.67726704,0.8386251851851851,0.888888889,0.3790849673
caterer,-4.9389086,-2.7161934,agent,patient,-2.2227152000000006,0.5684324715241367,0.875,0.5
cd,-3.3491392,-0.88826704,patient,patient,-2.46087216,0.6047404328075499,0.25,0.8235294118
cellist,-5.4556284,-1.6274463,agent,patient,-3.8281821000000003,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-2.6291592,-0.6494555,patient,patient,-1.9797037000000002,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-4.032446,-0.2641909,agent,patient,-3.7682551,0.7000186396947015,0.8194444445,0.9183006536
chef,-4.7305775,-0.45687637,agent,patient,-4.27370113,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-3.8110826,-1.6887981,patient,patient,-2.1222845,0.661941251596424,0.3194444445,0.9183006536
clarinet,-1.9984907,-0.34013122,patient,patient,-1.65835948,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-2.9606056,-0.20615163,agent,patient,-2.75445397,0.7790178571428571,0.875,0.9705882353
clay,-0.80066353,-0.8104741,patient,agent,0.009810569999999963,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-3.787871,-3.7033737,agent,patient,-0.08449729999999978,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-1.9325867,-1.1672149,agent,patient,-0.7653718,0.7568317979152734,0.8194444445,0.5653594771
cloth,-2.9263303,-0.5594672,patient,patient,-2.3668630999999998,0.2985090774863912,0.15277777775,0.9575163399
coat,-3.8955774,-0.077798,patient,patient,-3.8177794,0.2074233122822833,0.18055555550000002,0.6830065359
code,-1.6437807,-1.8103167,patient,agent,0.16653600000000002,0.4440540805082204,0.47222222225,1.751633987
comedian,-4.915225,-1.7006363,agent,patient,-3.2145887,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-2.099336,-0.78215826,patient,patient,-1.31717774,0.3575925594705777,0.33333333325000003,1.294117647
confectioner,-2.4072952,-0.4428071,agent,patient,-1.9644881,0.788134135855546,0.888888889,0.3790849673
container,-2.2405841,-0.37942192,patient,patient,-1.86116218,0.4130819652046067,0.3055555555,0.8888888889
convertible,-1.7213142,-0.30360106,patient,patient,-1.41771314,0.333927888903045,0.40277777775,1.075163399
cook,-4.159284,-0.6333119,agent,patient,-3.5259721000000006,0.771662128955022,0.8472222222500001,0.9575163399
cotton,-1.5787624,-0.960753,patient,patient,-0.6180094,0.5096950117448502,0.11111111099999998,0.7320261438
countertop,-2.5544999,-0.12447631,patient,patient,-2.4300235900000002,0.4369747899159664,0.06944444449999998,0.3300653595
crate,-1.8787585,-0.24755588,patient,patient,-1.63120262,0.3601158910417259,0.13888888900000002,0.614379085
cushion,-3.5290022,-0.048272945,patient,patient,-3.480729255,0.2348091623636633,0.125,0.3823529412
cut,-1.6312969,-0.35465258,patient,patient,-1.27664432,0.37019957940763,0.25,0.8235294118
dancer,-3.610513,-0.2889294,agent,patient,-3.3215836000000003,0.7019863911947872,0.875,0.2647058824
dealer,-3.3308141,-2.2544487,agent,patient,-1.0763653999999998,0.7802627606935202,0.8472222222500001,0.6045751634
dish,-2.3807178,-0.5512425,patient,patient,-1.8294753000000004,0.3054778558808377,0.16666666675000003,0.7058823529
doctor,-4.593817,-0.110372044,agent,patient,-4.483444956,0.727197186722784,0.9166666667500001,0.3529411765
dough,-2.0032856,-0.5501263,patient,patient,-1.4531592999999998,0.2847394090753257,0.22222222225,1.045751634
dressmaker,-3.9103963,-0.25886747,agent,patient,-3.65152883,0.7181686791925032,0.888888889,0.614379085
driver,-4.599953,-0.94852746,agent,patient,-3.65142554,0.7163646518408429,0.875,0.2647058824
drug,-3.1449633,-0.061582264,patient,patient,-3.083381036,0.6016625445473285,0.41666666674999997,1.411764706
drummer,-4.1131873,-0.3334344,agent,patient,-3.7797529,0.6652377441314151,0.888888889,0.3790849673
duffle,-3.3072112,-0.09170168,patient,patient,-3.21550952,0.5681492109038737,0.125,0.3823529412
essay,-1.2895341,-1.490911,patient,agent,0.20137690000000008,0.4579251467157587,0.29166666674999997,0.9705882353
essayist,-1.294065,-0.8609605,agent,patient,-0.4331045,0.83241330502477,0.9166666667500001,0.3529411765
fabric,-2.0282369,-0.8731103,patient,patient,-1.1551266,0.4367859577448622,0.08333333324999997,0.4705882353
fillet,-2.8947232,-0.12155392,patient,patient,-2.77316928,0.4050479800016128,0.06944444449999998,0.4477124183
fish,-2.9883034,-0.30739364,patient,patient,-2.68090976,0.466691092091373,0.5694444445,0.8006535948
floor,-2.5495243,-0.37855983,patient,patient,-2.17096447,0.3981600225925663,0.09722222224999999,0.3692810458
flute,-3.0067239,-0.12491471,patient,patient,-2.88180919,0.2487283060154625,0.29166666674999997,0.9705882353
flutist,-4.555413,-0.20427518,agent,patient,-4.35113782,0.5428265524625268,0.9027777777499999,0.3692810458
food,-3.668968,-0.0790515,patient,patient,-3.5899165,0.279496251612914,0.26388888899999996,0.8790849673
gem,-2.6279738,-0.124973804,patient,patient,-2.502999996,0.5298536940509476,0.11111111099999998,0.3790849673
glass,-3.2969005,-0.09419907,patient,patient,-3.20270143,0.2116331277533039,0.27777777775,0.9281045752
hairdresser,-3.5693905,-0.16142784,agent,patient,-3.40796266,0.7012600969305331,0.8472222222500001,1.075163399
handle,-1.5641762,-0.48089305,patient,patient,-1.08328315,0.1769893706564569,0.125,0.3823529412
hat,-2.819009,-0.15694167,patient,patient,-2.6620673299999997,0.1611221420146439,0.13888888900000002,0.614379085
herb,-3.0599172,-0.2403896,patient,patient,-2.8195276000000002,0.4867927073263943,0.29166666674999997,1.088235294
hiker,-4.864195,-0.519686,agent,patient,-4.3445089999999995,0.7838630806845965,0.9027777777499999,0.3692810458
housekeeper,-4.5519123,-0.40978926,agent,patient,-4.1421230399999995,0.650714095426448,0.8472222222500001,0.4869281046
ice,-2.275015,-0.1891582,patient,patient,-2.0858567999999997,0.6086624118660292,0.25,1.176470588
illustrator,-3.3515413,-2.19029,agent,patient,-1.1612513,0.62625,0.9444444445,0.1830065359
ingredient,-2.2948573,-0.26915193,patient,patient,-2.02570537,0.7034270613461989,0.29166666674999997,0.9705882353
instrument,-3.3984618,-0.07070959,patient,patient,-3.3277522100000003,0.5326638456423025,0.3055555555,0.6535947712
item,-2.9872327,-0.13958022,patient,patient,-2.84765248,0.5915449746229394,0.19444444449999998,0.7712418301
jacket,-2.6032941,-0.094833106,patient,patient,-2.508460994,0.135252417636453,0.16666666675000003,0.4705882353
janitor,-2.9413376,-0.9203624,agent,patient,-2.0209752,0.7745593454851711,0.888888889,0.4967320261
jet,-2.1944134,-0.7190603,patient,patient,-1.4753531000000002,0.5624798191798515,0.58333333325,0.8235294118
jeweler,-2.793143,-0.2839101,agent,patient,-2.5092329,0.7374281609195402,0.875,0.5
jewelry,-2.6808126,-0.10523013,patient,patient,-2.57558247,0.2255342095517772,0.09722222224999999,0.3692810458
journalist,-5.9881353,-5.709705,agent,patient,-0.27843030000000013,0.8138479170633187,0.9027777777499999,0.3692810458
kite,-2.168539,-0.1349124,patient,patient,-2.0336266,0.4014406144197778,0.38888888899999996,0.8496732026
knob,-3.2772336,-1.4928784,patient,patient,-1.7843552000000003,0.2054009004520378,0.15277777775,0.7222222222
lady,-5.157542,-0.03919654,agent,patient,-5.1183454600000005,0.7152875856411037,0.72222222225,0.5751633987
lake,-4.169013,-0.040598042,patient,patient,-4.128414958,0.613765862101466,0.19444444449999998,0.8888888889
landscape,-2.2257204,-0.1638846,patient,patient,-2.0618358000000003,0.5124950705027649,0.125,0.9705882353
letter,-1.4282401,-0.54563695,patient,patient,-0.88260315,0.2604193705903665,0.27777777775,1.281045752
line,-2.225064,-0.62064934,patient,patient,-1.6044146600000002,0.4926438812469622,0.20833333324999997,0.9705882353
lotion,-1.5939626,-0.23500699,patient,patient,-1.35895561,0.3798640193967344,0.13888888900000002,0.8496732026
lunchbox,-2.941106,-0.057868566,patient,patient,-2.883237434,0.2488408037094281,0.13888888900000002,0.3790849673
machine,-3.3199046,-0.28979185,agent,patient,-3.0301127500000002,0.5131729950809574,0.625,0.9705882353
magazine,-1.569951,-0.29234788,patient,patient,-1.2776031200000002,0.6617302627865612,0.20833333324999997,0.7352941176
maid,-4.4388895,-1.0661708,agent,patient,-3.3727187,0.6277443715239496,0.888888889,0.3790849673
make,-2.0448694,-0.85283655,patient,patient,-1.19203285,0.527764830397101,0.15277777775,0.839869281
man,-4.5547667,-0.040873628,agent,patient,-4.513893072,0.7554710730485904,0.736111111,0.6437908497
marble,-1.483942,-0.29034367,patient,patient,-1.1935983300000002,0.5925970766927886,0.11111111099999998,0.7320261438
mason,-2.6160517,-0.7872027,agent,patient,-1.828849,0.8182577761451758,0.763888889,1.820261438
material,-2.0986567,-0.84323406,patient,patient,-1.25542264,0.4244436794726096,0.18055555550000002,0.6830065359
meat,-3.198035,-0.40680858,patient,patient,-2.79122642,0.2937742399320657,0.15277777775,0.6045751634
mirror,-2.9166057,-0.126335,patient,patient,-2.7902706999999998,0.4172552118154743,0.22222222225,0.5751633987
model,-2.940102,-2.9110637,patient,patient,-0.02903829999999985,0.5225791591861056,0.8055555555,0.5359477124
motorcycle,-2.210287,-0.18124196,patient,patient,-2.02904504,0.1839998305515547,0.513888889,1.114379085
motorist,-3.6678505,-0.8041727,agent,patient,-2.8636778,0.7813624299616633,0.875,0.7352941176
mountain,-3.334627,-0.04739114,patient,patient,-3.28723586,0.5334323833930582,0.16666666675000003,0.5882352941
mover,-1.7765149,-0.54684734,agent,patient,-1.22966756,0.7995169979565299,0.8333333332499999,0.5882352941
mushroom,-1.7931168,-0.21679047,patient,patient,-1.5763263299999999,0.6628412518115232,0.34722222225,0.7222222222
